Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2012","2012","tonnes","590065","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2013","2013","tonnes","610570","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2014","2014","tonnes","744847","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2015","2015","tonnes","805072","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2016","2016","tonnes","874541","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2017","2017","tonnes","954845","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5510","Production","560","Grapes","2012","2012","tonnes","196800","","Official data"
"QC","Crops","3","Albania","5510","Production","560","Grapes","2013","2013","tonnes","204000","","Official data"
"QC","Crops","3","Albania","5510","Production","560","Grapes","2014","2014","tonnes","203700","","Official data"
"QC","Crops","3","Albania","5510","Production","560","Grapes","2015","2015","tonnes","205000","","Official data"
"QC","Crops","3","Albania","5510","Production","560","Grapes","2016","2016","tonnes","205001","","Official data"
"QC","Crops","3","Albania","5510","Production","560","Grapes","2017","2017","tonnes","202948","","Official data"
"QC","Crops","4","Algeria","5510","Production","560","Grapes","2012","2012","tonnes","543169","","Official data"
"QC","Crops","4","Algeria","5510","Production","560","Grapes","2013","2013","tonnes","570840","","Official data"
"QC","Crops","4","Algeria","5510","Production","560","Grapes","2014","2014","tonnes","518035","","Official data"
"QC","Crops","4","Algeria","5510","Production","560","Grapes","2015","2015","tonnes","568069","","Official data"
"QC","Crops","4","Algeria","5510","Production","560","Grapes","2016","2016","tonnes","571351","","Official data"
"QC","Crops","4","Algeria","5510","Production","560","Grapes","2017","2017","tonnes","566579","","Official data"
"QC","Crops","9","Argentina","5510","Production","560","Grapes","2012","2012","tonnes","2244220","","Official data"
"QC","Crops","9","Argentina","5510","Production","560","Grapes","2013","2013","tonnes","2871749","","Official data"
"QC","Crops","9","Argentina","5510","Production","560","Grapes","2014","2014","tonnes","2635109","","Official data"
"QC","Crops","9","Argentina","5510","Production","560","Grapes","2015","2015","tonnes","2415571","","Official data"
"QC","Crops","9","Argentina","5510","Production","560","Grapes","2016","2016","tonnes","1758418","","Official data"
"QC","Crops","9","Argentina","5510","Production","560","Grapes","2017","2017","tonnes","1965206","","Official data"
"QC","Crops","1","Armenia","5510","Production","560","Grapes","2012","2012","tonnes","241429","","Official data"
"QC","Crops","1","Armenia","5510","Production","560","Grapes","2013","2013","tonnes","240816","","Official data"
"QC","Crops","1","Armenia","5510","Production","560","Grapes","2014","2014","tonnes","261325","","Official data"
"QC","Crops","1","Armenia","5510","Production","560","Grapes","2015","2015","tonnes","309181","","Official data"
"QC","Crops","1","Armenia","5510","Production","560","Grapes","2016","2016","tonnes","178752","","Official data"
"QC","Crops","1","Armenia","5510","Production","560","Grapes","2017","2017","tonnes","209954","","Official data"
"QC","Crops","10","Australia","5510","Production","560","Grapes","2012","2012","tonnes","1656621","","Official data"
"QC","Crops","10","Australia","5510","Production","560","Grapes","2013","2013","tonnes","1762572","","Official data"
"QC","Crops","10","Australia","5510","Production","560","Grapes","2014","2014","tonnes","1557362","","Official data"
"QC","Crops","10","Australia","5510","Production","560","Grapes","2015","2015","tonnes","1728759","","Official data"
"QC","Crops","10","Australia","5510","Production","560","Grapes","2016","2016","tonnes","1772911","","Official data"
"QC","Crops","10","Australia","5510","Production","560","Grapes","2017","2017","tonnes","1824431","","Official data"
"QC","Crops","11","Austria","5510","Production","560","Grapes","2012","2012","tonnes","287301","","Official data"
"QC","Crops","11","Austria","5510","Production","560","Grapes","2013","2013","tonnes","318926","","Official data"
"QC","Crops","11","Austria","5510","Production","560","Grapes","2014","2014","tonnes","266491","","Official data"
"QC","Crops","11","Austria","5510","Production","560","Grapes","2015","2015","tonnes","302454","","Official data"
"QC","Crops","11","Austria","5510","Production","560","Grapes","2016","2016","tonnes","260337","","Official data"
"QC","Crops","11","Austria","5510","Production","560","Grapes","2017","2017","tonnes","331428","","Official data"
"QC","Crops","52","Azerbaijan","5510","Production","560","Grapes","2012","2012","tonnes","150987","","Official data"
"QC","Crops","52","Azerbaijan","5510","Production","560","Grapes","2013","2013","tonnes","148535","","Official data"
"QC","Crops","52","Azerbaijan","5510","Production","560","Grapes","2014","2014","tonnes","147701","","Official data"
"QC","Crops","52","Azerbaijan","5510","Production","560","Grapes","2015","2015","tonnes","157076","","Official data"
"QC","Crops","52","Azerbaijan","5510","Production","560","Grapes","2016","2016","tonnes","136499","","Official data"
"QC","Crops","52","Azerbaijan","5510","Production","560","Grapes","2017","2017","tonnes","152843","","Official data"
"QC","Crops","13","Bahrain","5510","Production","560","Grapes","2012","2012","tonnes","145","F","FAO estimate"
"QC","Crops","13","Bahrain","5510","Production","560","Grapes","2013","2013","tonnes","146","Im","FAO data based on imputation methodology"
"QC","Crops","13","Bahrain","5510","Production","560","Grapes","2014","2014","tonnes","148","Im","FAO data based on imputation methodology"
"QC","Crops","13","Bahrain","5510","Production","560","Grapes","2015","2015","tonnes","148","Im","FAO data based on imputation methodology"
"QC","Crops","13","Bahrain","5510","Production","560","Grapes","2016","2016","tonnes","149","Im","FAO data based on imputation methodology"
"QC","Crops","13","Bahrain","5510","Production","560","Grapes","2017","2017","tonnes","149","Im","FAO data based on imputation methodology"
"QC","Crops","57","Belarus","5510","Production","560","Grapes","2012","2012","tonnes","14000","F","FAO estimate"
"QC","Crops","57","Belarus","5510","Production","560","Grapes","2013","2013","tonnes","15000","F","FAO estimate"
"QC","Crops","57","Belarus","5510","Production","560","Grapes","2014","2014","tonnes","14500","F","FAO estimate"
"QC","Crops","57","Belarus","5510","Production","560","Grapes","2015","2015","tonnes","15603","Im","FAO data based on imputation methodology"
"QC","Crops","57","Belarus","5510","Production","560","Grapes","2016","2016","tonnes","17382","Im","FAO data based on imputation methodology"
"QC","Crops","57","Belarus","5510","Production","560","Grapes","2017","2017","tonnes","17169","Im","FAO data based on imputation methodology"
"QC","Crops","255","Belgium","5510","Production","560","Grapes","2012","2012","tonnes","932","Im","FAO data based on imputation methodology"
"QC","Crops","255","Belgium","5510","Production","560","Grapes","2013","2013","tonnes","1197","Im","FAO data based on imputation methodology"
"QC","Crops","255","Belgium","5510","Production","560","Grapes","2014","2014","tonnes","1513","Im","FAO data based on imputation methodology"
"QC","Crops","255","Belgium","5510","Production","560","Grapes","2015","2015","tonnes","1743","Im","FAO data based on imputation methodology"
"QC","Crops","255","Belgium","5510","Production","560","Grapes","2016","2016","tonnes","2251","Im","FAO data based on imputation methodology"
"QC","Crops","255","Belgium","5510","Production","560","Grapes","2017","2017","tonnes","2400","Im","FAO data based on imputation methodology"
"QC","Crops","19","Bolivia (Plurinational State of)","5510","Production","560","Grapes","2012","2012","tonnes","26176","","Official data"
"QC","Crops","19","Bolivia (Plurinational State of)","5510","Production","560","Grapes","2013","2013","tonnes","31897","","Official data"
"QC","Crops","19","Bolivia (Plurinational State of)","5510","Production","560","Grapes","2014","2014","tonnes","19956","","Official data"
"QC","Crops","19","Bolivia (Plurinational State of)","5510","Production","560","Grapes","2015","2015","tonnes","20502","","Official data"
"QC","Crops","19","Bolivia (Plurinational State of)","5510","Production","560","Grapes","2016","2016","tonnes","21167","","Official data"
"QC","Crops","19","Bolivia (Plurinational State of)","5510","Production","560","Grapes","2017","2017","tonnes","22550","","Official data"
"QC","Crops","80","Bosnia and Herzegovina","5510","Production","560","Grapes","2012","2012","tonnes","25931","","Official data"
"QC","Crops","80","Bosnia and Herzegovina","5510","Production","560","Grapes","2013","2013","tonnes","31800","","Official data"
