Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QD","Crops Processed","3","Albania","5510","Production","564","Wine","2012","2012","tonnes","37000","F","FAO estimate"
"QD","Crops Processed","3","Albania","5510","Production","564","Wine","2013","2013","tonnes","38000","F","FAO estimate"
"QD","Crops Processed","3","Albania","5510","Production","564","Wine","2014","2014","tonnes","17500","*","Unofficial figure"
"QD","Crops Processed","3","Albania","5510","Production","564","Wine","2015","2015","tonnes","16400","*","Unofficial figure"
"QD","Crops Processed","3","Albania","5510","Production","564","Wine","2016","2016","tonnes","17800","*","Unofficial figure"
"QD","Crops Processed","3","Albania","5510","Production","564","Wine","2017","2017","tonnes","17200","F","FAO estimate"
"QD","Crops Processed","4","Algeria","5510","Production","564","Wine","2012","2012","tonnes","49200","F","FAO estimate"
"QD","Crops Processed","4","Algeria","5510","Production","564","Wine","2013","2013","tonnes","49800","F","FAO estimate"
"QD","Crops Processed","4","Algeria","5510","Production","564","Wine","2014","2014","tonnes","52000","F","FAO estimate"
"QD","Crops Processed","4","Algeria","5510","Production","564","Wine","2015","2015","tonnes","50000","F","FAO estimate"
"QD","Crops Processed","4","Algeria","5510","Production","564","Wine","2016","2016","tonnes","50000","F","FAO estimate"
"QD","Crops Processed","4","Algeria","5510","Production","564","Wine","2017","2017","tonnes","62094","Im","FAO data based on imputation methodology"
"QD","Crops Processed","9","Argentina","5510","Production","564","Wine","2012","2012","tonnes","1166025","","Official data"
"QD","Crops Processed","9","Argentina","5510","Production","564","Wine","2013","2013","tonnes","1498380","","Official data"
"QD","Crops Processed","9","Argentina","5510","Production","564","Wine","2014","2014","tonnes","1519745","","Official data"
"QD","Crops Processed","9","Argentina","5510","Production","564","Wine","2015","2015","tonnes","1336196","","Official data"
"QD","Crops Processed","9","Argentina","5510","Production","564","Wine","2016","2016","tonnes","944650","","Official data"
"QD","Crops Processed","9","Argentina","5510","Production","564","Wine","2017","2017","tonnes","1182111","*","Unofficial figure"
"QD","Crops Processed","1","Armenia","5510","Production","564","Wine","2012","2012","tonnes","5808","","Official data"
"QD","Crops Processed","1","Armenia","5510","Production","564","Wine","2013","2013","tonnes","6422","","Official data"
"QD","Crops Processed","1","Armenia","5510","Production","564","Wine","2014","2014","tonnes","6174","","Official data"
"QD","Crops Processed","1","Armenia","5510","Production","564","Wine","2015","2015","tonnes","5932","","Official data"
"QD","Crops Processed","1","Armenia","5510","Production","564","Wine","2016","2016","tonnes","6810","","Official data"
"QD","Crops Processed","1","Armenia","5510","Production","564","Wine","2017","2017","tonnes","8853","","Official data"
"QD","Crops Processed","10","Australia","5510","Production","564","Wine","2012","2012","tonnes","1225919","","Official data"
"QD","Crops Processed","10","Australia","5510","Production","564","Wine","2013","2013","tonnes","1231012","","Official data"
"QD","Crops Processed","10","Australia","5510","Production","564","Wine","2014","2014","tonnes","1186343","","Official data"
"QD","Crops Processed","10","Australia","5510","Production","564","Wine","2015","2015","tonnes","1191193","","Official data"
"QD","Crops Processed","10","Australia","5510","Production","564","Wine","2016","2016","tonnes","1299000","*","Unofficial figure"
"QD","Crops Processed","10","Australia","5510","Production","564","Wine","2017","2017","tonnes","1369000","*","Unofficial figure"
"QD","Crops Processed","11","Austria","5510","Production","564","Wine","2012","2012","tonnes","215475","","Official data"
"QD","Crops Processed","11","Austria","5510","Production","564","Wine","2013","2013","tonnes","239195","","Official data"
"QD","Crops Processed","11","Austria","5510","Production","564","Wine","2014","2014","tonnes","199869","","Official data"
"QD","Crops Processed","11","Austria","5510","Production","564","Wine","2015","2015","tonnes","226840","","Official data"
"QD","Crops Processed","11","Austria","5510","Production","564","Wine","2016","2016","tonnes","195253","","Official data"
"QD","Crops Processed","11","Austria","5510","Production","564","Wine","2017","2017","tonnes","248571","","Official data"
"QD","Crops Processed","52","Azerbaijan","5510","Production","564","Wine","2012","2012","tonnes","7937","","Official data"
"QD","Crops Processed","52","Azerbaijan","5510","Production","564","Wine","2013","2013","tonnes","7711","","Official data"
"QD","Crops Processed","52","Azerbaijan","5510","Production","564","Wine","2014","2014","tonnes","10030","","Official data"
"QD","Crops Processed","52","Azerbaijan","5510","Production","564","Wine","2015","2015","tonnes","10350","","Official data"
"QD","Crops Processed","52","Azerbaijan","5510","Production","564","Wine","2016","2016","tonnes","10493","","Official data"
"QD","Crops Processed","52","Azerbaijan","5510","Production","564","Wine","2017","2017","tonnes","11305","","Official data"
"QD","Crops Processed","57","Belarus","5510","Production","564","Wine","2012","2012","tonnes","27160","","Official data"
"QD","Crops Processed","57","Belarus","5510","Production","564","Wine","2013","2013","tonnes","28150","","Official data"
"QD","Crops Processed","57","Belarus","5510","Production","564","Wine","2014","2014","tonnes","29980","","Official data"
"QD","Crops Processed","57","Belarus","5510","Production","564","Wine","2015","2015","tonnes","28740","","Official data"
"QD","Crops Processed","57","Belarus","5510","Production","564","Wine","2016","2016","tonnes","27430","","Official data"
"QD","Crops Processed","57","Belarus","5510","Production","564","Wine","2017","2017","tonnes","30990","","Official data"
"QD","Crops Processed","255","Belgium","5510","Production","564","Wine","2012","2012","tonnes","2864","*","Unofficial figure"
"QD","Crops Processed","255","Belgium","5510","Production","564","Wine","2013","2013","tonnes","2900","*","Unofficial figure"
"QD","Crops Processed","255","Belgium","5510","Production","564","Wine","2014","2014","tonnes","17721","Im","FAO data based on imputation methodology"
"QD","Crops Processed","255","Belgium","5510","Production","564","Wine","2015","2015","tonnes","18061","Im","FAO data based on imputation methodology"
"QD","Crops Processed","255","Belgium","5510","Production","564","Wine","2016","2016","tonnes","18492","Im","FAO data based on imputation methodology"
"QD","Crops Processed","255","Belgium","5510","Production","564","Wine","2017","2017","tonnes","18424","Im","FAO data based on imputation methodology"
"QD","Crops Processed","19","Bolivia (Plurinational State of)","5510","Production","564","Wine","2012","2012","tonnes","7977","","Official data"
"QD","Crops Processed","19","Bolivia (Plurinational State of)","5510","Production","564","Wine","2013","2013","tonnes","8347","","Official data"
"QD","Crops Processed","19","Bolivia (Plurinational State of)","5510","Production","564","Wine","2014","2014","tonnes","5452","","Official data"
"QD","Crops Processed","19","Bolivia (Plurinational State of)","5510","Production","564","Wine","2015","2015","tonnes","8262","*","Unofficial figure"
"QD","Crops Processed","19","Bolivia (Plurinational State of)","5510","Production","564","Wine","2016","2016","tonnes","8335","*","Unofficial figure"
"QD","Crops Processed","19","Bolivia (Plurinational State of)","5510","Production","564","Wine","2017","2017","tonnes","8376","*","Unofficial figure"
"QD","Crops Processed","80","Bosnia and Herzegovina","5510","Production","564","Wine","2012","2012","tonnes","3061","","Official data"
"QD","Crops Processed","80","Bosnia and Herzegovina","5510","Production","564","Wine","2013","2013","tonnes","4163","","Official data"
"QD","Crops Processed","80","Bosnia and Herzegovina","5510","Production","564","Wine","2014","2014","tonnes","7524","","Official data"
"QD","Crops Processed","80","Bosnia and Herzegovina","5510","Production","564","Wine","2015","2015","tonnes","5369","","Official data"
"QD","Crops Processed","80","Bosnia and Herzegovina","5510","Production","564","Wine","2016","2016","tonnes","4579","","Official data"
"QD","Crops Processed","80","Bosnia and Herzegovina","5510","Production","564","Wine","2017","2017","tonnes","5546","","Official data"
"QD","Crops Processed","21","Brazil","5510","Production","564","Wine","2012","2012","tonnes","296700","*","Unofficial figure"
"QD","Crops Processed","21","Brazil","5510","Production","564","Wine","2013","2013","tonnes","273100","*","Unofficial figure"
"QD","Crops Processed","21","Brazil","5510","Production","564","Wine","2014","2014","tonnes","260000","*","Unofficial figure"
"QD","Crops Processed","21","Brazil","5510","Production","564","Wine","2015","2015","tonnes","270000","*","Unofficial figure"
"QD","Crops Processed","21","Brazil","5510","Production","564","Wine","2016","2016","tonnes","130000","*","Unofficial figure"
"QD","Crops Processed","21","Brazil","5510","Production","564","Wine","2017","2017","tonnes","371237","","Official data"
"QD","Crops Processed","27","Bulgaria","5510","Production","564","Wine","2012","2012","tonnes","133700","","Official data"
"QD","Crops Processed","27","Bulgaria","5510","Production","564","Wine","2013","2013","tonnes","130500","","Official data"
"QD","Crops Processed","27","Bulgaria","5510","Production","564","Wine","2014","2014","tonnes","88100","","Official data"
"QD","Crops Processed","27","Bulgaria","5510","Production","564","Wine","2015","2015","tonnes","156800","","Official data"
"QD","Crops Processed","27","Bulgaria","5510","Production","564","Wine","2016","2016","tonnes","133398","","Official data"
"QD","Crops Processed","27","Bulgaria","5510","Production","564","Wine","2017","2017","tonnes","119309","","Official data"
"QD","Crops Processed","33","Canada","5510","Production","564","Wine","2012","2012","tonnes","62041","Im","FAO data based on imputation methodology"
"QD","Crops Processed","33","Canada","5510","Production","564","Wine","2013","2013","tonnes","69720","Im","FAO data based on imputation methodology"
"QD","Crops Processed","33","Canada","5510","Production","564","Wine","2014","2014","tonnes","58195","Im","FAO data based on imputation methodology"
"QD","Crops Processed","33","Canada","5510","Production","564","Wine","2015","2015","tonnes","59790","Im","FAO data based on imputation methodology"
"QD","Crops Processed","33","Canada","5510","Production","564","Wine","2016","2016","tonnes","63776","Im","FAO data based on imputation methodology"
"QD","Crops Processed","33","Canada","5510","Production","564","Wine","2017","2017","tonnes","70433","Im","FAO data based on imputation methodology"
"QD","Crops Processed","40","Chile","5510","Production","564","Wine","2012","2012","tonnes","1255371","","Official data"
"QD","Crops Processed","40","Chile","5510","Production","564","Wine","2013","2013","tonnes","1282095","","Official data"
"QD","Crops Processed","40","Chile","5510","Production","564","Wine","2014","2014","tonnes","989627","","Official data"
"QD","Crops Processed","40","Chile","5510","Production","564","Wine","2015","2015","tonnes","1286686","","Official data"
"QD","Crops Processed","40","Chile","5510","Production","564","Wine","2016","2016","tonnes","1014362","","Official data"
"QD","Crops Processed","40","Chile","5510","Production","564","Wine","2017","2017","tonnes","949206","","Official data"
"QD","Crops Processed","351","China","5510","Production","564","Wine","2012","2012","tonnes","1650000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QD","Crops Processed","351","China","5510","Production","564","Wine","2013","2013","tonnes","1700000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QD","Crops Processed","351","China","5510","Production","564","Wine","2014","2014","tonnes","1758236","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QD","Crops Processed","351","China","5510","Production","564","Wine","2015","2015","tonnes","1891268","A","Aggregate, may include official, semi-official, estimated or calculated data"
