Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QD,Crops processed,3,Albania,5510,Production,564,Wine,2012,2012,tonnes,37000,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,2013,2013,tonnes,38000,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,2014,2014,tonnes,17500,F,FAO estimate
QD,Crops processed,4,Algeria,5510,Production,564,Wine,2012,2012,tonnes,49200,F,FAO estimate
QD,Crops processed,4,Algeria,5510,Production,564,Wine,2013,2013,tonnes,49800,F,FAO estimate
QD,Crops processed,4,Algeria,5510,Production,564,Wine,2014,2014,tonnes,52000,F,FAO estimate
QD,Crops processed,9,Argentina,5510,Production,564,Wine,2012,2012,tonnes,1166025,,Official data
QD,Crops processed,9,Argentina,5510,Production,564,Wine,2013,2013,tonnes,1498380,,Official data
QD,Crops processed,9,Argentina,5510,Production,564,Wine,2014,2014,tonnes,1498380,Im,FAO data based on imputation methodology
QD,Crops processed,1,Armenia,5510,Production,564,Wine,2012,2012,tonnes,5808,,Official data
QD,Crops processed,1,Armenia,5510,Production,564,Wine,2013,2013,tonnes,6422,,Official data
QD,Crops processed,1,Armenia,5510,Production,564,Wine,2014,2014,tonnes,6174,,Official data
QD,Crops processed,10,Australia,5510,Production,564,Wine,2012,2012,tonnes,1225919,,Official data
QD,Crops processed,10,Australia,5510,Production,564,Wine,2013,2013,tonnes,1231012,,Official data
QD,Crops processed,10,Australia,5510,Production,564,Wine,2014,2014,tonnes,1186343,,Official data
QD,Crops processed,11,Austria,5510,Production,564,Wine,2012,2012,tonnes,215475,,Official data
QD,Crops processed,11,Austria,5510,Production,564,Wine,2013,2013,tonnes,239195,,Official data
QD,Crops processed,11,Austria,5510,Production,564,Wine,2014,2014,tonnes,199869,,Official data
QD,Crops processed,52,Azerbaijan,5510,Production,564,Wine,2012,2012,tonnes,7937,,Official data
QD,Crops processed,52,Azerbaijan,5510,Production,564,Wine,2013,2013,tonnes,7711,,Official data
QD,Crops processed,52,Azerbaijan,5510,Production,564,Wine,2014,2014,tonnes,9512,,Official data
QD,Crops processed,57,Belarus,5510,Production,564,Wine,2012,2012,tonnes,27160,,Official data
QD,Crops processed,57,Belarus,5510,Production,564,Wine,2013,2013,tonnes,28150,,Official data
QD,Crops processed,57,Belarus,5510,Production,564,Wine,2014,2014,tonnes,29980,,Official data
QD,Crops processed,255,Belgium,5510,Production,564,Wine,2012,2012,tonnes,2864,*,Unofficial figure
QD,Crops processed,255,Belgium,5510,Production,564,Wine,2013,2013,tonnes,2900,*,Unofficial figure
QD,Crops processed,255,Belgium,5510,Production,564,Wine,2014,2014,tonnes,2900,Im,FAO data based on imputation methodology
QD,Crops processed,19,Bolivia,5510,Production,564,Wine,2012,2012,tonnes,7977,,Official data
QD,Crops processed,19,Bolivia,5510,Production,564,Wine,2013,2013,tonnes,8347,,Official data
QD,Crops processed,19,Bolivia,5510,Production,564,Wine,2014,2014,tonnes,9422,,Official data
QD,Crops processed,80,Bosnia and Herzegovina,5510,Production,564,Wine,2012,2012,tonnes,3061,,Official data
QD,Crops processed,80,Bosnia and Herzegovina,5510,Production,564,Wine,2013,2013,tonnes,4163,,Official data
QD,Crops processed,80,Bosnia and Herzegovina,5510,Production,564,Wine,2014,2014,tonnes,7524,,Official data
QD,Crops processed,21,Brazil,5510,Production,564,Wine,2012,2012,tonnes,296700,*,Unofficial figure
QD,Crops processed,21,Brazil,5510,Production,564,Wine,2013,2013,tonnes,273100,*,Unofficial figure
QD,Crops processed,21,Brazil,5510,Production,564,Wine,2014,2014,tonnes,273100,Im,FAO data based on imputation methodology
QD,Crops processed,27,Bulgaria,5510,Production,564,Wine,2012,2012,tonnes,133700,,Official data
QD,Crops processed,27,Bulgaria,5510,Production,564,Wine,2013,2013,tonnes,130500,,Official data
QD,Crops processed,27,Bulgaria,5510,Production,564,Wine,2014,2014,tonnes,130500,Im,FAO data based on imputation methodology
QD,Crops processed,33,Canada,5510,Production,564,Wine,2012,2012,tonnes,62041,Im,FAO data based on imputation methodology
QD,Crops processed,33,Canada,5510,Production,564,Wine,2013,2013,tonnes,69720,Im,FAO data based on imputation methodology
QD,Crops processed,33,Canada,5510,Production,564,Wine,2014,2014,tonnes,54663,Im,FAO data based on imputation methodology
QD,Crops processed,40,Chile,5510,Production,564,Wine,2012,2012,tonnes,1255371,,Official data
QD,Crops processed,40,Chile,5510,Production,564,Wine,2013,2013,tonnes,1282095,,Official data
QD,Crops processed,40,Chile,5510,Production,564,Wine,2014,2014,tonnes,1214000,,Official data
QD,Crops processed,44,Colombia,5510,Production,564,Wine,2012,2012,tonnes,11925,,Official data
QD,Crops processed,44,Colombia,5510,Production,564,Wine,2013,2013,tonnes,12122,,Official data
QD,Crops processed,44,Colombia,5510,Production,564,Wine,2014,2014,tonnes,13000,F,FAO estimate
QD,Crops processed,98,Croatia,5510,Production,564,Wine,2012,2012,tonnes,44191,,Official data
QD,Crops processed,98,Croatia,5510,Production,564,Wine,2013,2013,tonnes,49571,,Official data
QD,Crops processed,98,Croatia,5510,Production,564,Wine,2014,2014,tonnes,45272,,Official data
QD,Crops processed,49,Cuba,5510,Production,564,Wine,2012,2012,tonnes,12400,,Official data
QD,Crops processed,49,Cuba,5510,Production,564,Wine,2013,2013,tonnes,11620,,Official data
QD,Crops processed,49,Cuba,5510,Production,564,Wine,2014,2014,tonnes,12080,,Official data
QD,Crops processed,50,Cyprus,5510,Production,564,Wine,2012,2012,tonnes,10516,,Official data
QD,Crops processed,50,Cyprus,5510,Production,564,Wine,2013,2013,tonnes,11197,,Official data
QD,Crops processed,50,Cyprus,5510,Production,564,Wine,2014,2014,tonnes,10302,,Official data
QD,Crops processed,167,Czechia,5510,Production,564,Wine,2012,2012,tonnes,54600,*,Unofficial figure
QD,Crops processed,167,Czechia,5510,Production,564,Wine,2013,2013,tonnes,48700,*,Unofficial figure
QD,Crops processed,167,Czechia,5510,Production,564,Wine,2014,2014,tonnes,52000,F,FAO estimate
QD,Crops processed,59,Egypt,5510,Production,564,Wine,2012,2012,tonnes,4500,F,FAO estimate
QD,Crops processed,59,Egypt,5510,Production,564,Wine,2013,2013,tonnes,4500,F,FAO estimate
QD,Crops processed,59,Egypt,5510,Production,564,Wine,2014,2014,tonnes,5000,F,FAO estimate
QD,Crops processed,63,Estonia,5510,Production,564,Wine,2012,2012,tonnes,9627,,Official data
QD,Crops processed,63,Estonia,5510,Production,564,Wine,2013,2013,tonnes,10664,,Official data
QD,Crops processed,63,Estonia,5510,Production,564,Wine,2014,2014,tonnes,11104,,Official data
QD,Crops processed,238,Ethiopia,5510,Production,564,Wine,2012,2012,tonnes,1261,Im,FAO data based on imputation methodology
QD,Crops processed,238,Ethiopia,5510,Production,564,Wine,2013,2013,tonnes,1267,Im,FAO data based on imputation methodology
QD,Crops processed,238,Ethiopia,5510,Production,564,Wine,2014,2014,tonnes,1297,Im,FAO data based on imputation methodology
QD,Crops processed,68,France,5510,Production,564,Wine,2012,2012,tonnes,4209724,,Official data
QD,Crops processed,68,France,5510,Production,564,Wine,2013,2013,tonnes,4293466,,Official data
QD,Crops processed,68,France,5510,Production,564,Wine,2014,2014,tonnes,4293466,Im,FAO data based on imputation methodology
QD,Crops processed,73,Georgia,5510,Production,564,Wine,2012,2012,tonnes,83000,F,FAO estimate
QD,Crops processed,73,Georgia,5510,Production,564,Wine,2013,2013,tonnes,99700,*,Unofficial figure
QD,Crops processed,73,Georgia,5510,Production,564,Wine,2014,2014,tonnes,108600,*,Unofficial figure
QD,Crops processed,79,Germany,5510,Production,564,Wine,2012,2012,tonnes,901200,,Official data
QD,Crops processed,79,Germany,5510,Production,564,Wine,2013,2013,tonnes,840900,,Official data
QD,Crops processed,79,Germany,5510,Production,564,Wine,2014,2014,tonnes,920200,,Official data
QD,Crops processed,84,Greece,5510,Production,564,Wine,2012,2012,tonnes,275000,,Official data
QD,Crops processed,84,Greece,5510,Production,564,Wine,2013,2013,tonnes,330074,,Official data
QD,Crops processed,84,Greece,5510,Production,564,Wine,2014,2014,tonnes,334300,,Official data
QD,Crops processed,97,Hungary,5510,Production,564,Wine,2012,2012,tonnes,224330,,Official data
QD,Crops processed,97,Hungary,5510,Production,564,Wine,2013,2013,tonnes,294416,,Official data
QD,Crops processed,97,Hungary,5510,Production,564,Wine,2014,2014,tonnes,258520,,Official data
QD,Crops processed,99,Iceland,5510,Production,564,Wine,2013,2013,tonnes,0,,Official data
QD,Crops processed,99,Iceland,5510,Production,564,Wine,2014,2014,tonnes,0,,Official data
QD,Crops processed,105,Israel,5510,Production,564,Wine,2012,2012,tonnes,5000,F,FAO estimate
QD,Crops processed,105,Israel,5510,Production,564,Wine,2013,2013,tonnes,5000,F,FAO estimate
QD,Crops processed,105,Israel,5510,Production,564,Wine,2014,2014,tonnes,5000,F,FAO estimate
QD,Crops processed,106,Italy,5510,Production,564,Wine,2012,2012,tonnes,3826531,,Official data
QD,Crops processed,106,Italy,5510,Production,564,Wine,2013,2013,tonnes,4504412,,Official data
QD,Crops processed,106,Italy,5510,Production,564,Wine,2014,2014,tonnes,4796600,,Official data
QD,Crops processed,110,Japan,5510,Production,564,Wine,2012,2012,tonnes,80000,F,FAO estimate
QD,Crops processed,110,Japan,5510,Production,564,Wine,2013,2013,tonnes,80000,F,FAO estimate
QD,Crops processed,110,Japan,5510,Production,564,Wine,2014,2014,tonnes,85000,F,FAO estimate
QD,Crops processed,112,Jordan,5510,Production,564,Wine,2012,2012,tonnes,731,,Official data
QD,Crops processed,112,Jordan,5510,Production,564,Wine,2013,2013,tonnes,158,,Official data
QD,Crops processed,112,Jordan,5510,Production,564,Wine,2014,2014,tonnes,550,F,FAO estimate
QD,Crops processed,108,Kazakhstan,5510,Production,564,Wine,2012,2012,tonnes,15505,,Official data
QD,Crops processed,108,Kazakhstan,5510,Production,564,Wine,2013,2013,tonnes,20902,,Official data
QD,Crops processed,108,Kazakhstan,5510,Production,564,Wine,2014,2014,tonnes,21993,,Official data
QD,Crops processed,113,Kyrgyzstan,5510,Production,564,Wine,2012,2012,tonnes,1312,,Official data
QD,Crops processed,113,Kyrgyzstan,5510,Production,564,Wine,2013,2013,tonnes,1752,,Official data
QD,Crops processed,113,Kyrgyzstan,5510,Production,564,Wine,2014,2014,tonnes,1700,F,FAO estimate
