"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","7,050,000",""
"SURVEY","2019","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","450,000",""
"SURVEY","2019","YEAR - AUG FORECAST","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","7,050,000",""
"SURVEY","2019","YEAR - AUG FORECAST","","STATE","WASHINGTON","53","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","450,000",""
"SURVEY","2018","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","7,130,000",""
"SURVEY","2018","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","466,000",""
"SURVEY","2018","YEAR - AUG FORECAST","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","6,750,000",""
"SURVEY","2018","YEAR - AUG FORECAST","","STATE","MICHIGAN","26","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","70,000",""
"SURVEY","2018","YEAR - AUG FORECAST","","STATE","MISSOURI","29","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","5,000",""
"SURVEY","2018","YEAR - AUG FORECAST","","STATE","NEW YORK","36","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","175,000",""
"SURVEY","2018","YEAR - AUG FORECAST","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","6,500",""
"SURVEY","2018","YEAR - AUG FORECAST","","STATE","OHIO","39","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","5,000",""
"SURVEY","2018","YEAR - AUG FORECAST","","STATE","OREGON","41","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","78,000",""
"SURVEY","2018","YEAR - AUG FORECAST","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","95,000",""
"SURVEY","2018","YEAR - AUG FORECAST","","STATE","TEXAS","48","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","11,000",""
"SURVEY","2018","YEAR - AUG FORECAST","","STATE","VIRGINIA","51","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","8,500",""
"SURVEY","2018","YEAR - AUG FORECAST","","STATE","WASHINGTON","53","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","455,000",""
"SURVEY","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","6,507,000",""
