Species,Latitude,Longitude
lycorma delicatula,36.741757,126.5857
lycorma delicatula,36.741703,126.5862
lycorma delicatula,36.779682,126.470597
lycorma delicatula,36.779743,126.470488
lycorma delicatula,40.143786,-75.509155
lycorma delicatula,40.23406,-75.687055
lycorma delicatula,40.287666,-75.87719
lycorma delicatula,36.741668,126.586305
lycorma delicatula,36.778435,126.472703
lycorma delicatula,36.741511,126.58528
lycorma delicatula,40.239409,-75.514237
lycorma delicatula,40.338071,-75.422001
lycorma delicatula,36.778528,126.472644
lycorma delicatula,36.778513,126.473142
lycorma delicatula,36.719152,126.5235
lycorma delicatula,36.742497,126.58354
lycorma delicatula,35.915346,128.630869
lycorma delicatula,35.915953,128.63022
lycorma delicatula,35.915606,128.630861
lycorma delicatula,36.787779,126.441933
lycorma delicatula,36.780288,126.470338
lycorma delicatula,36.741727,126.587472
lycorma delicatula,36.742503,126.583545
lycorma delicatula,36.77997,126.47003
lycorma delicatula,36.742087,126.58367
lycorma delicatula,36.778441,126.472706
lycorma delicatula,40.239308,-75.51454
lycorma delicatula,36.778687,126.472924
lycorma delicatula,36.779255,126.469883
lycorma delicatula,36.741593,126.587583
lycorma delicatula,40.335648,-75.926875
lycorma delicatula,36.74167,126.588227
lycorma delicatula,40.221635,-75.385804
lycorma delicatula,36.742743,126.583637
lycorma delicatula,36.77849,126.473045
lycorma delicatula,40.312472,-75.435735
lycorma delicatula,36.702857,126.427867
lycorma delicatula,40.511058,-76.099693
lycorma delicatula,40.254933,-75.51138
lycorma delicatula,40.312774,-75.436459
lycorma delicatula,36.70254,126.428066
lycorma delicatula,36.742812,126.583555
lycorma delicatula,40.259106,-75.821037
lycorma delicatula,35.16119,128.095468
lycorma delicatula,36.778972,126.472592
lycorma delicatula,40.216658,-75.786273
lycorma delicatula,40.736084,-75.308601
lycorma delicatula,36.779305,126.470025
lycorma delicatula,35.160592,128.095815
lycorma delicatula,36.779277,126.470088
lycorma delicatula,36.742303,126.58356
lycorma delicatula,36.49876,127.166331
lycorma delicatula,36.779775,126.470443
lycorma delicatula,35.161475,128.09511
lycorma delicatula,36.742013,126.583535
lycorma delicatula,40.510885,-76.099695
lycorma delicatula,40.216298,-75.55114
lycorma delicatula,36.613267,127.465814
lycorma delicatula,36.703395,126.426497
lycorma delicatula,36.809662,126.380318
lycorma delicatula,40.789234,-75.608086
lycorma delicatula,40.138583,-75.327903
lycorma delicatula,36.779792,126.470445
lycorma delicatula,40.511744,-76.104269
lycorma delicatula,36.74174,126.588209
lycorma delicatula,40.254526,-75.511964
lycorma delicatula,40.492849,-75.816219
lycorma delicatula,40.086643,-75.444093
lycorma delicatula,36.779343,126.471638
lycorma delicatula,40.095128,-75.466031
lycorma delicatula,36.742077,126.58314
lycorma delicatula,36.779307,126.469707
lycorma delicatula,36.741778,126.58801
lycorma delicatula,36.702988,126.427097
lycorma delicatula,40.636495,-75.388717
lycorma delicatula,40.284407,-75.448056
lycorma delicatula,40.193298,-75.456187
lycorma delicatula,36.754675,128.07747
lycorma delicatula,36.787027,126.450668
lycorma delicatula,40.037465,-75.691386
lycorma delicatula,40.530135,-75.859165
lycorma delicatula,40.054921,-75.013093
lycorma delicatula,36.748292,126.445537
lycorma delicatula,40.245374,-75.64963
lycorma delicatula,40.199802,-75.784851
lycorma delicatula,36.4191,127.391959
lycorma delicatula,36.742065,126.583125
lycorma delicatula,36.754713,128.077453
lycorma delicatula,36.741847,126.58366
lycorma delicatula,36.702937,126.427218
lycorma delicatula,40.213703,-75.780974
lycorma delicatula,40.211946,-75.429234
lycorma delicatula,36.703462,126.426458
lycorma delicatula,36.385453,127.26773
lycorma delicatula,40.303632,-75.45732
lycorma delicatula,40.162659,-75.463974
lycorma delicatula,40.252811,-75.474933
lycorma delicatula,36.776608,126.470983
lycorma delicatula,40.36947,-75.935238
lycorma delicatula,36.702923,126.427293
lycorma delicatula,40.6012,-75.500722
lycorma delicatula,35.831422,129.289245
lycorma delicatula,40.313511,-75.833473
lycorma delicatula,39.952387,116.474808
lycorma delicatula,36.779525,126.47071
lycorma delicatula,40.374292,-76.035827
lycorma delicatula,40.095836,-75.42875
lycorma delicatula,40.328533,-74.943612
lycorma delicatula,36.778423,126.473125
lycorma delicatula,36.779568,126.470772
lycorma delicatula,40.252799,-80.01461
lycorma delicatula,36.74161,126.588152
lycorma delicatula,40.33162,-74.9411
lycorma delicatula,36.774632,126.465176
lycorma delicatula,36.702985,126.427288
lycorma delicatula,40.372048,-76.034153
lycorma delicatula,40.039013,-75.266526
lycorma delicatula,40.095797,-75.603928
lycorma delicatula,35.844022,128.560881
lycorma delicatula,36.775276,126.464996
lycorma delicatula,40.413956,-75.92686
lycorma delicatula,40.21,-75.3702
lycorma delicatula,40.358068,-76.412868
lycorma delicatula,36.779289,126.469803
lycorma delicatula,36.748128,126.458786
lycorma delicatula,36.020316,126.984075
lycorma delicatula,36.525743,127.244639
lycorma delicatula,40.501949,-75.701108
lycorma delicatula,40.614243,-75.59063
lycorma delicatula,36.779464,126.470939
lycorma delicatula,36.746822,126.444764
lycorma delicatula,36.779458,126.470558
lycorma delicatula,40.336887,-75.10706
lycorma delicatula,40.234036,-75.684737
lycorma delicatula,40.43653,-75.585787
lycorma delicatula,36.780636,126.469697
lycorma delicatula,36.779408,126.472
lycorma delicatula,37.548056,126.912778
lycorma delicatula,36.775544,126.470536
lycorma delicatula,36.700764,126.426956
lycorma delicatula,36.779667,126.470811
lycorma delicatula,36.779308,126.468047
lycorma delicatula,36.779669,126.467169
lycorma delicatula,36.745689,126.447739
lycorma delicatula,36.779564,126.470939
lycorma delicatula,40.334152,-75.63772
lycorma delicatula,36.741997,126.587478
lycorma delicatula,36.746639,126.442436
lycorma delicatula,40.276147,-75.735305
lycorma delicatula,40.429371,-75.337101
lycorma delicatula,36.741408,126.5857
lycorma delicatula,40.203628,-75.392517
lycorma delicatula,36.741675,126.587219
lycorma delicatula,37.459666,128.143072
lycorma delicatula,40.135293,-75.517621
lycorma delicatula,36.741403,126.585358
lycorma delicatula,36.741439,126.584342
lycorma delicatula,40.62248,-75.381895
lycorma delicatula,40.357392,-75.58248
lycorma delicatula,36.7427,126.583581
lycorma delicatula,37.548054,126.912498
lycorma delicatula,40.446555,-75.45805
lycorma delicatula,40.192783,-75.457175
lycorma delicatula,31.230416,121.473701
lycorma delicatula,37.175683,128.443179
lycorma delicatula,33.874956,109.024785
lycorma delicatula,37.564724,126.946663
lycorma delicatula,34.389013,109.269573
lycorma delicatula,35.917845,128.623236
lycorma delicatula,34.384883,109.258118
lycorma delicatula,34.35781,109.230542
lycorma delicatula,37.506868,126.947055
lycorma delicatula,36.615584,127.354295
lycorma delicatula,40.38061,-75.719145
lycorma delicatula,36.743303,126.583711
lycorma delicatula,36.741751,126.586677
lycorma delicatula,36.741786,126.588169
lycorma delicatula,36.742321,126.443461
lycorma delicatula,37.562222,126.945557
lycorma delicatula,35.842585,129.231911
lycorma delicatula,37.567501,126.893059
lycorma delicatula,40.592449,-75.521499
lycorma delicatula,37.566679,126.890005
lycorma delicatula,40.372548,-75.622016
lycorma delicatula,35.84666,127.177141
lycorma delicatula,37.529438,126.964493
lycorma delicatula,40.41152,-75.65998
lycorma delicatula,39.895207,116.398273
lycorma delicatula,29.350942,110.408888
lycorma delicatula,36.73597,126.583357
lycorma delicatula,35.823102,128.483992
lycorma delicatula,35.83281,128.482318
lycorma delicatula,36.745418,126.586747
lycorma delicatula,37.45,127.9
lycorma delicatula,36.416862,126.829605
lycorma delicatula,36.22,127.22
lycorma delicatula,36.32,128.47
lycorma delicatula,39.07,117.12
lycorma delicatula,36.773267,126.615028
lycorma delicatula,37.39,127.5
lycorma delicatula,37.16,126.67
lycorma delicatula,36.44,127.15
lycorma delicatula,36.39,128.31
lycorma delicatula,35.4,126.44
lycorma delicatula,36.201326,127.34188
lycorma delicatula,36.192858,127.339225
lycorma delicatula,30.14,119.43
lycorma delicatula,36.13,127
lycorma delicatula,35.25,126.43
lycorma delicatula,31.37,121.23
lycorma delicatula,29.03,121.02
lycorma delicatula,36.749407,126.608763
lycorma delicatula,37.35,127.03
lycorma delicatula,36.26,126.557
lycorma delicatula,39.54,116.24
lycorma delicatula,27.666667,117.666667
lycorma delicatula,31.221944,121.457778
lycorma delicatula,36.444238,136.632194
lycorma delicatula,36.293004,136.253822
lycorma delicatula,36.287378,136.256171
lycorma delicatula,36.285383,136.251163
lycorma delicatula,36.28489,136.254106
lycorma delicatula,36.278252,136.24665
lycorma delicatula,36.276568,136.244789
lycorma delicatula,36.276803,136.249442
lycorma delicatula,36.271429,136.24625
lycorma delicatula,36.269436,136.249662
lycorma delicatula,36.2628,136.2372
lycorma delicatula,36.268943,136.227321
lycorma delicatula,36.2568,136.2191
lycorma delicatula,36.241459,136.221001
lycorma delicatula,39.205826,-78.152551
lycorma delicatula,40.001208,116.337414
lycorma delicatula,40.002189,116.374708
lycorma delicatula,31.772594,116.883489
