Continent,Country,Region,Sub-Region,Latitude,Longitude,Decimal Lat,Decimal Long
Africa,Algiera,Algiers,,36°45′14″N,3°3′32″E,36.75388889,3.058888889
Africa,Algiera,Béjaïa,,36°45′N,5°04′E,36.75,5.066666667
Africa,Algiera,Chlef Province,Dahra,35.425165°N,0.315127°W,35.425165,-0.315127
Africa,Algiera,Mascara,,35°24′N,0°8′E,35.4,0.133333333
Africa,Algiera,Médéa,,36°16′N,2°45′E,36.26666667,2.75
Africa,Algiera,Tlemcen,,34°52′58″N,01°19′00″W,34.88277778,-1.316666667
Africa,Algiera,Zaccar,,34.43083°N,3.32722°E,34.43083,3.32722
Africa,Cape Verde,Chã das Caldeiras,,14.971°N,24.367°W,14.971,-24.367
Africa,Morocco,Atlas Mountains,,31°03′43″N,07°54′58″W,31.06194444,-7.916111111
Africa,Morocco,Benslimane,,33.617°N,7.117°W,33.617,-7.117
Africa,Morocco,Meknès,,33°53′42″N,5°33′17″W,33.895,-5.554722222
Africa,South Africa,Breede River Valley,,33.750°S,19.500°E,-33.75,19.5
Africa,South Africa,Constantia,,34°01′53″S,18°25′06″E,-34.03138889,18.41833333
Africa,South Africa,Durbanville,,33.83250°S,18.64750°E,-33.8325,18.6475
Africa,South Africa,Elgin,,-34.15,19.033,-34.15,19.033
Americas,South Africa,Elim,,34°35′30″S,19°45′30″E,-34.59166667,19.75833333
Americas,South Africa,Franschhoek,,33°55′S,19°08′E,-33.91666667,19.13333333
Americas,South Africa,Little Karoo,,32.350°S,22.567°E,-32.35,22.567
Americas,South Africa,Orange River Valley,,-28.6333308,16.4499982,-28.6333308,16.4499982
Americas,South Africa,Paarl,,33°43′27″S,18°57′21″E,-33.72416667,18.95583333
Americas,South Africa,Robertson,,33°48′S,19°53′E,-33.8,19.88333333
Americas,South Africa,Stellenbosch,,33°56′12″S,18°51′41″E,-33.93666667,18.86138889
Americas,South Africa,Swartland,,33.367°S,18.783°E,-33.367,18.783
Americas,South Africa,Tulbagh,,33°17′6″S,19°8′16″E,-33.285,19.13777778
Americas,Tunisia,Arianah,,36.862499,10.195556,36.862499,10.195556
Americas,Tunisia,Nabul,,36°27′15″N,10°44′5″E,36.45416667,10.73472222
Americas,Tunisia,Sousse,,35°50′N,10°38′E,35.83333333,10.63333333
Americas,Argentina,Buenos Aires Province,Médanos,38°49′S,62°40′W,-38.81666667,-62.66666667
Americas,Argentina,Catamarca Province,,28.467°S,65.783°W,-28.467,-65.783
Americas,Argentina,La Rioja Province,,29°26′S,66°51′W,-29.43333333,-66.85
Americas,Argentina,Mendoza Province,,32.89028°S,68.84722°W,-32.89028,-68.84722
Americas,Argentina,Neuquén Province,,38.95167°S,68.07444°W,-38.95167,-68.07444
Americas,Argentina,Río Negro Province,,40°48′S,63°00′W,-40.8,-63
Americas,Argentina,Salta Province,,24.783°S,65.417°W,-24.783,-65.417
Americas,Argentina,San Juan Province,,30.87°S,68.98°W,-30.87,-68.98
Americas,Bolivia,Tarija Department,,21°35′S,63°50′W,-21.58333333,-63.83333333
Americas,Brazil,Bahia,Curaçá,08°59′31″S,39°54′28″W,-8.991944444,-39.90777778
Americas,Brazil,Bahia,Irecê,11.30389°S,42.85583°W,-11.30389,-42.85583
Americas,Brazil,Bahia,Juazeiro,09°25′50″S,40°30′10″W,-9.430555556,-40.50277778
Americas,Brazil,Mato Grosso,Nova Mutum,13°50′16″S,56°05′02″W,-13.83777778,-56.08388889
Americas,Brazil,Minas Gerais,Andradas,22.06778°S,46.56889°W,-22.06778,-46.56889
Americas,Brazil,Minas Gerais,Caldas,21°55′26″S,46°23′09″W,-21.92388889,-46.38583333
Americas,Brazil,Minas Gerais,Pirapora,17°20′52″S,44°56′37″W,-17.34777778,-44.94361111
Americas,Brazil,Minas Gerais,Santa Rita de Caldas,22.02889°S,46.33694°W,-22.02889,-46.33694
Americas,Brazil,Paraná,Bandeirantes,23°06′36″S,50°22′04″W,-23.11,-50.36777778
Americas,Brazil,Paraná,Marialva,23.467°S,51.700°W,-23.467,-51.7
Americas,Brazil,Paraná,Maringá,23°24′S,51°55′W,-23.4,-51.91666667
Americas,Brazil,Paraná,Rosário do Ivaí,24.2778°S,51.275°W,-24.2778,-51.275
Americas,Brazil,Pernambuco,Casa Nova,9°09′43″S,40°58′15″W,-9.161944444,-40.97083333
Americas,Brazil,Pernambuco,Petrolina,09°23′34″S,40°30′28″W,-9.392777778,-40.50777778
Americas,Brazil,Pernambuco,Santa Maria da Boa Vista,8.80889°S,39.82500°W,-8.80889,-39.825
Americas,Brazil,Rio Grande do Sul,Bento Gonçalves,29°10′15″S,51°31′08″W,-29.17083333,-51.51888889
Americas,Brazil,Rio Grande do Sul,Caxias do Sul,29°10′00″S,51°11′00″W,-29.16666667,-51.18333333
Americas,Brazil,Rio Grande do Sul,Cotiporã,29°01′S,51°42′W,-29.01666667,-51.7
Americas,Brazil,Rio Grande do Sul,Garibaldi,29°17′20″S,51°33′51″W,-29.28888889,-51.56416667
Americas,Brazil,Santa Catarina,Pinheiro Preto,27.050°S,51.200°W,-27.05,-51.2
Americas,Brazil,Santa Catarina,São Joaquim,28°17′38″S,49°55′55″W,-28.29388889,-49.93194444
Americas,Brazil,Santa Catarina,Tangará,27°06′18″S,51°14′49″W,-27.105,-51.24694444
Americas,Brazil,São Paulo,Jundiaí,23°11′11″S,46°53′02″W,-23.18638889,-46.88388889
Americas,Brazil,São Paulo,São Roque,23°31′45″S,47°08′07″W,-23.52916667,-47.13527778
Americas,Canada,British Columbia,Fraser Valley,49.10833°N,122.29167°W,49.10833,-122.29167
Americas,Canada,British Columbia,Gulf Islands,48.950°N,123.533°W,48.95,-123.533
Americas,Canada,British Columbia,Okanagan Valley,49.74778°N,119.71722°W,49.74778,-119.71722
Americas,Canada,British Columbia,Similkameen Valley,49.21667°N,119.96667°W,49.21667,-119.96667
Americas,Canada,British Columbia,Vancouver Island,49°30′N,125°30′W,49.5,-125.5
Americas,Canada,Nova Scotia,Annapolis Valley,45.000°N,64.917°W,45,-64.917
Americas,Canada,Ontario,Lake Erie North Shore and Pelee Island,41.7667°N,82.6409°W,41.7667,-82.6409
Americas,Canada,Ontario,Niagara Peninsula,43.00°N,79.50°W,43,-79.5
Americas,Canada,Ontario,Prince Edward County,44°00′N,77°15′W,44,-77.25
Americas,Canada,Ontario,Toronto,43°44′30″N,79°22′24″W,43.74166667,-79.37333333
Americas,Canada,Quebec,Eastern Townships,45.4814°N,71.6678°W,45.4814,71.6678
Americas,Chile,Aconcagua,Aconcagua Valley,32°42′S,70°45′W,-32.7,-70.75
Americas,Chile,Aconcagua,Casablanca Valley,33°19′S,71°25′W,-33.31666667,-71.41666667
Americas,Chile,Atacama,Copiapó Valley,27°21′59″S,70°19′59″W,-27.36638889,-70.33305556
Americas,Chile,Atacama,Huasco Valley,28.43389°S,71.20306°W,-28.43389,-71.20306
Americas,Chile,Central Valley,Cachapoal Valley,34.27472°S,71.43472°W,-34.27472,-71.43472
Americas,Chile,Central Valley,Maipo Valley,33°45′S,70°46′W,-33.75,-70.76666667
Americas,Chile,Central Valley,Mataquito Valley,34.9722°S,72.1858°W,-34.9722,-72.1858
