geopol_unit,obs_mean,obs_sd,obs_min,obs_max,quantile_0.25,quantile_0.50,quantile_0.75,quantile_0.90
Aruba,0.003086603756802266,3.180931964471489e-4,0.00287672970443964,0.00400554807856679,0.0028899084427393973,0.002893342636525631,0.0031522333156317472,0.0037437010789290073
Afghanistan,0.04145377981226422,0.07619602271297361,1.6808885266073048e-4,0.6121756434440613,0.001359026471618563,0.007119228597730398,0.050049787387251854,0.11107321828603745
Angola,0.01136932697586944,0.02280307579256875,1.6804142796900123e-4,0.44833457469940186,8.692168048582971e-4,0.0032704195473343134,0.009224970359355211,0.03497807756066329
Anguilla,5.983355967327952e-4,3.49755979058847e-6,5.872671026736498e-4,6.03193009737879e-4,5.99222956225276e-4,5.992806982249022e-4,5.993269151076674e-4,5.994079518131911e-4
Åland,0.01209749500333175,0.005177402711650894,0.00732759665697813,0.037785161286592484,0.008064839988946915,0.011235878802835941,0.012409518472850323,0.021198500692844388
Albania,0.31436059761485313,0.16576853628750293,0.0019278486724942923,0.7846616506576538,0.15280639380216599,0.35868263244628906,0.4160117208957672,0.511352789402008
Andorra,0.05077392573622303,0.0764715898133962,0.008373000659048557,0.4213370084762573,0.0154727753251791,0.027559038251638412,0.04432530049234629,0.11830083727836609
United Arab Emirates,9.881306840750813e-4,0.00122580943721301,1.672198559390381e-4,0.1468411087989807,3.363409487064928e-4,8.405466796830297e-4,0.00146354382741265,0.001907739799935372
Argentina,0.09870572991679126,0.12608789315820773,2.322903019376099e-4,0.608452320098877,0.012989719631150365,0.04530253820121288,0.12559402734041214,0.3451688438653946
Armenia,0.093346730955405,0.11285030909135328,0.001333901658654213,0.5671972632408142,0.016201947815716267,0.03851914033293724,0.12867841869592667,0.2886377036571503
American Samoa,6.24805751121145e-4,1.4415968326842192e-4,4.039863415528089e-4,7.338467985391617e-4,4.228196630720049e-4,7.268131885211915e-4,7.282580918399617e-4,7.298687705770135e-4
Antarctica,NaN,NA,Inf,-Inf,NA,NA,NA,NA
French Southern Territories,0.001559113934657976,0.001587889383429542,0.00034046010114252567,0.020640237256884575,0.0010521415970288217,0.0010709427297115326,0.002103247563354671,0.002157966187223792
Antigua and Barbuda,0.0015338209088300713,4.065486123362827e-4,7.416760781779885e-4,0.0020291320979595184,0.0010623506095726043,0.0017255741986446083,0.0018762958061415702,0.0018776375451125204
Australia,0.029326374979878597,0.08016505041114348,2.0104552095290273e-4,0.7837603092193604,3.442192974034697e-4,8.27467767521739e-4,0.009555017575621605,0.10524466931819926
Austria,0.17562737669724623,0.16495981334117443,0.0015130332903936505,0.6228466629981995,0.03340595215559006,0.08275850117206573,0.35088884830474854,0.3937293291091919
Azerbaijan,0.2705454480312904,0.14757778932941645,9.923013858497143e-4,0.6452929973602295,0.14146318286657333,0.331759512424469,0.36929160356521606,0.4183728098869324
Burundi,0.14396255273560324,0.12723400403494783,0.0028001570608466864,0.5279242992401123,0.05790841206908226,0.09417908638715744,0.2564397156238556,0.3599247694015504
Belgium,0.4963762158869821,0.12396629572152855,0.07099403440952301,0.6857650279998779,0.4140072911977768,0.5317944288253784,0.5826823264360428,0.6297660291194915
Benin,0.004248775851574054,0.002019363032383371,3.4357054391875863e-4,0.010434702038764954,0.0027908363845199347,0.004083309322595596,0.0057925577275455,0.007033744174987078
"Bonaire, Sint Eustatius and Saba",8.603167302878675e-4,1.0400218245763593e-4,5.787883419543505e-4,0.001027179416269064,8.090195042314008e-4,8.401680388487875e-4,9.59145967499353e-4,0.0010217624250799416
Burkina Faso,0.003210935570863681,0.0013734363068792826,3.6275258753448725e-4,0.00861824955791235,0.0021232913713902235,0.0033156017307192087,0.004183114389888942,0.004888135101646187
Bangladesh,0.005482705293884974,0.0016723493995902154,2.7094519464299083e-4,0.009177304804325104,0.00479372451081872,0.0058187253307551146,0.006588849006220698,0.007244069920852781
Bulgaria,0.2766404565313286,0.1395616958636104,0.0037066021468490362,0.6255450248718262,0.14324896037578583,0.3274298906326294,0.36931175738573074,0.41837352812290196
Bahrain,0.0021016523032257894,3.748574174585403e-4,6.700856029056013e-4,0.0023336850572377443,0.002070217044092715,0.0022483308566734195,0.002326414396520704,0.0023292814614251254
Bahamas,0.0012415430452305232,0.0014778900419093108,4.6144906082190573e-4,0.011622796766459942,6.68512104311958e-4,8.755076851230115e-4,0.0010255535889882594,0.0019452167907729745
Bosnia and Herzegovina,0.2631622303478523,0.16618305149616555,0.0037561466451734304,0.7813016772270203,0.10870306752622128,0.3031720817089081,0.37773267924785614,0.4391973257064821
Saint-Barthélemy,5.830845080449113e-4,5.485055669829132e-6,5.811386508867145e-4,5.996052059344947e-4,5.812895833514631e-4,5.81385160330683e-4,5.81423519179225e-4,5.81506232265383e-4
Belarus,0.0437098953071832,0.01972544073490601,0.004049796145409346,0.36894816160202026,0.02941712737083435,0.04255283996462822,0.05466913431882858,0.0654677078127861
Belize,0.002443250524739104,0.001769461110945223,3.4402922028675675e-4,0.009666252881288528,9.328351588919759e-4,0.0022775931283831596,0.0034580754581838846,0.005278180167078969
Bermuda,5.871522980533652e-4,1.4829784048552656e-4,5.582010489888489e-4,0.0014262784970924258,5.611075612250715e-4,5.612957174889743e-4,5.616912967525423e-4,5.621063872240484e-4
Bolivia,0.021754081104985803,0.05774105809831959,2.5528366677463055e-4,0.6426613330841064,5.443829868454486e-4,0.0014682476175948977,0.007247102679684758,0.07336011826992037
Brazil,0.019978493385556347,0.06061465404867842,3.3381045795977116e-4,0.6983993649482727,4.1783039341680706e-4,0.0020305553916841745,0.0057514989748597145,0.05563367307186138
Barbados,0.008861234874587441,8.038268860040775e-4,0.007298179902136326,0.010719125159084797,0.007995294407010078,0.009112469851970673,0.009480955544859171,0.009670490399003029
Brunei,0.0029332604092049876,0.0022615992001365163,4.181363037787378e-4,0.007822906598448753,7.286216132342815e-4,0.0026875610928982496,0.004771676380187273,0.006385869067162275
Bhutan,0.039052274470709976,0.08216152024750255,2.919063263107091e-4,0.7060787081718445,0.0016073837177827954,0.01277268584817648,0.030234968289732933,0.09480170607566835
Bouvet Island,0.0011170849364409048,4.799919368454769e-5,0.0010246163001284003,0.0011809102725237608,0.0010750492219813168,0.0011432566680014133,0.0011554642696864903,0.0011680346797220409
Botswana,0.0077201296607197125,0.018621529275402907,3.0609950772486627e-4,0.30208319425582886,5.737661267630756e-4,0.0016500031342729926,0.004088387358933687,0.019831969588995055
Central African Republic,8.641953420739615e-4,9.060084445451156e-4,3.369893238414079e-4,0.010638692416250706,4.540330919553526e-4,5.376053741201758e-4,7.977950590429828e-4,0.0015354553353972733
Canada,0.003282104150086269,0.018579258943312575,2.7020007837563753e-4,0.8091779947280884,4.650236223824322e-4,9.373485227115452e-4,0.0010371253592893481,0.004988600499927998
Cocos Islands,4.1575349556903046e-4,4.092783351994992e-8,4.15728340158239e-4,4.158007213845849e-4,4.157298826612532e-4,4.157314251642674e-4,4.1576607327442616e-4,4.1578686214052143e-4
Switzerland,0.20136905446838052,0.20575775543394376,5.423873080871999e-4,0.8695573210716248,0.019205756951123476,0.07920639961957932,0.38513073325157166,0.49342610836029055
Chile,0.0677378456570899,0.13025291806662467,2.3226432676892728e-4,0.8106300234794617,0.0026262628962285817,0.010075854137539864,0.04968773294240236,0.23993428349494958
China,0.07287142827750526,0.13101380684710348,2.1315496996976435e-4,0.7313550114631653,9.556413278914988e-4,0.005952351726591587,0.07111331075429916,0.3286489963531491
Côte d'Ivoire,0.004804530540601471,0.002233349056339625,4.0459289448335767e-4,0.016138672828674316,0.003058036556467414,0.0048005590215325356,0.006349872797727585,0.007914231531322003
Cameroon,0.003871366055636264,0.009212392673368035,2.3553235223516822e-4,0.4565056562423706,9.11311071831733e-4,0.002702965051867068,0.004403139231726527,0.006005039671435952
Democratic Republic of the Congo,0.0065433974870338345,0.029032083149696943,4.063670348841697e-4,0.7492420077323914,5.148254276718944e-4,0.001003605138976127,0.003343768883496523,0.007540511898696423
Republic of Congo,0.0011135867034103885,0.0014352113037242552,3.467705682851374e-4,0.014105319045484066,4.56620313343592e-4,5.092178471386433e-4,7.746996416244656e-4,0.002895454410463571
Cook Islands,4.229003894715545e-4,6.855591117963192e-6,4.0420162258669734e-4,4.528489662334323e-4,4.1888108535204083e-4,4.2237035813741386e-4,4.2415760981384665e-4,4.2890441254712637e-4
Colombia,0.019869346815848687,0.07458150012077559,3.3350579906255007e-4,0.8288869857788086,4.187831364106387e-4,5.72879915125668e-4,0.0047625035513192415,0.025698429346084586
Comoros,0.01660420218922711,0.035224319460270395,5.7299091713503e-4,0.32532623410224915,0.003379722242243588,0.006214310182258487,0.009357666131109,0.039151762425899496
Cape Verde,0.010547956473545499,0.0311995008464437,1.708672643871978e-4,0.1858174353837967,1.939598732860759e-4,3.2278783328365535e-4,0.002689667046070099,0.02217573206871748
Costa Rica,0.017850653754851124,0.04842925076396182,3.425895411055535e-4,0.5657603144645691,0.0026867359410971403,0.004178056726232171,0.006899292580783367,0.035636648908257545
Cuba,0.006646061510262052,0.004698857394242324,4.6103246859274805e-4,0.13999347388744354,0.0050580124370753765,0.006363559048622847,0.007648032624274492,0.009002036415040493
Curaçao,0.0011338624462388037,2.5318192517688915e-4,8.2639284664765e-4,0.001710818032734096,8.934710058383644e-4,0.0011474026832729578,0.0013316527474671602,0.0014440880622714758
Christmas Island,3.971431074629289e-4,2.294441096357157e-5,3.495049895718694e-4,4.220520204398781e-4,3.6954114330001175e-4,4.1050734580494463e-4,4.1379814501851797e-4,4.1903863893821836e-4
Cayman Islands,4.939681627075366e-4,2.5046127219691274e-5,4.5736567699350417e-4,5.271562258712947e-4,4.712572117568925e-4,4.895533202216029e-4,5.169824871700257e-4,5.25244022719562e-4
Cyprus,0.22247462208596483,0.11897262576296562,0.054947178810834885,0.48472633957862854,0.09865442663431168,0.18752363324165344,0.30912384390830994,0.40786565542221065
Czech Republic,0.21608577380322946,0.1321665056310363,0.012722059153020382,0.5711693167686462,0.08179572224617004,0.17851412296295166,0.3453364670276642,0.38044229745864866
Germany,0.34500146530883224,0.12811236525203226,0.007454768288880587,0.7130166888237,0.29236892610788345,0.3568807393312454,0.40723440051078796,0.5152444183826446
Djibouti,0.0012303137928934068,0.0012277551814415771,2.003728732233867e-4,0.03407614305615425,4.96697350172326e-4,9.320484241470695e-4,0.001661377988057211,0.002625225461088121
Dominica,0.0025168380999027497,0.002014943854087933,7.320367731153965e-4,0.03052731417119503,0.002403197519015521,0.002479663584381342,0.002498373680282384,0.002606384293176234
Denmark,0.25360177969608894,0.09665248401715373,0.037363626062870026,0.556567370891571,0.16523849964141846,0.25858306884765625,0.34288644790649414,0.3853333234786998
