geopol_unit,mean,sd,min,max,rsa,quantile_0.25,quantile_0.50,quantile_0.75,quantile_0.90
Alabama,0.03248782756375119,0.052210982590333466,5.247659864835441e-4,0.5041630268096924,0.6342212175001484,0.004234690219163895,0.013028600253164768,0.03471430018544197,0.076323501765728
Alaska,2.1681608528971208e-4,7.351260673526666e-4,1.1186800293216947e-5,0.04844830185174942,0.0033042517407680366,4.532029925030656e-5,7.479500345652923e-5,1.253912523679901e-4,3.0570900707971305e-4
Arizona,6.987397686996371e-4,0.0029384052427538555,1.1877000360982493e-6,0.21867099404335022,0.016390136628486235,5.3943849707138725e-5,2.632089890539646e-4,5.077274981886148e-4,0.0012531500542536378
Arkansas,0.04413735233772768,0.07293189886456328,3.772909985855222e-4,0.5654090046882629,0.7889374833949848,0.008102707797661424,0.022370150312781334,0.041578950360417366,0.0975924998521805
California,0.026195415810598574,0.06646332002134807,8.735630103728909e-7,0.8394970297813416,0.3972396909494483,1.9796225387835875e-4,0.00348727498203516,0.01930872444063425,0.06785955876111995
Colorado,0.002537039286149873,0.00734099695776906,2.237209992017597e-5,0.10187599807977676,0.07869129428785183,1.8936024571303278e-4,6.130855181254447e-4,0.0017488700104877353,0.005180124891921878
Connecticut,0.31339778412937613,0.26663358853472696,0.016805699095129967,0.9509389996528625,1,0.10529349744319916,0.2182369977235794,0.4366759955883026,0.8178330063819885
Delaware,0.28616554987042125,0.2828847301548623,0.015681900084018707,0.9066709876060486,1,0.08091844990849495,0.12361600250005722,0.5173420011997223,0.7938467979431152
District of Columbia,0.4551890399907866,0.1531388890009097,0.1973710060119629,0.7884439826011658,1,0.331565760076046,0.39599399268627167,0.556576743721962,0.7037487864494324
Florida,0.005530612080340309,0.004684635253300757,1.0853499588847626e-5,0.027925800532102585,0.35989017998846684,0.0017413850000593811,0.004102559993043542,0.008610982680693269,0.011974499560892582
Georgia,0.041469313534387924,0.07858088937055804,1.708289928501472e-4,0.6446059942245483,0.4055243645322531,0.002125590108335018,0.0042935400269925594,0.033407699316740036,0.15596180558204653
