geopol_unit,mean,sd,min,max,rsa,quantile_0.25,quantile_0.50,quantile_0.75,quantile_0.90
Alabama,0.5260571646108383,0.09735369566498192,0.11412300169467926,0.6907129883766174,1,0.47217199206352234,0.5498560070991516,0.5941219925880432,0.6256930232048035
Alaska,0.0022686013745714597,0.003243138829957226,4.5923699508421123e-4,0.09108710289001465,0.48368287935614707,0.001017160015180707,0.00192118005361408,0.00243437010794878,0.0026992999482899904
Arizona,0.19847140786319117,0.16442576640694415,6.940190214663744e-4,0.6887900233268738,0.9898759035942103,0.05640614964067936,0.16593900322914124,0.3328849971294403,0.4564169943332672
Arkansas,0.547153878845802,0.08439461020851832,0.308461993932724,0.7181419730186462,1,0.510824978351593,0.5561990141868591,0.6055570244789124,0.6487126886844635
California,0.3014724753708157,0.20263876951021906,7.446560193784535e-4,0.657325029373169,0.9974151286682242,0.10377350263297558,0.2944439947605133,0.4969249963760376,0.5666279792785645
Colorado,0.22031144039915343,0.18979633848439983,0.0025753499940037727,0.6935840249061584,1,0.0350801981985569,0.24239550530910492,0.35151850432157516,0.48887649178504944
Connecticut,0.6275653831299243,0.0769344620235974,0.19075700640678406,0.7047989964485168,1,0.6186494827270508,0.6486380100250244,0.6701579988002777,0.691199004650116
Delaware,0.6188577590421943,0.05312430830724546,0.4056380093097687,0.7193719744682312,1,0.5740990042686462,0.6094909906387329,0.6594584882259369,0.7018054246902465
District of Columbia,0.7192436725862564,7.602932942990962e-4,0.7144160270690918,0.7194370031356812,1,0.7193397730588913,0.7193639874458313,0.7193840146064758,0.7193999886512756
Florida,0.1258886116569192,0.1071419494217831,0.0013795100385323167,0.4753350019454956,0.9998928336318682,0.024410700425505638,0.0830278992652893,0.22676550596952438,0.2729630023241044
Georgia,0.46348924161443467,0.15592830490433718,0.035163700580596924,0.7114289999008179,1,0.30432701110839844,0.49795401096343994,0.6001909971237183,0.6465060114860535
Hawaii,0.023142442085243686,0.022203837957435534,7.50894017983228e-4,0.4678260087966919,0.8267383787936996,0.002866460010409355,0.019352100789546967,0.03487430140376091,0.05043246001005173
Idaho,0.11656377694683616,0.14323885144875093,0.0020068399608135223,0.6861559748649597,1,0.01817695004865527,0.0484592504799366,0.17719300091266632,0.35158480703830725
Illinois,0.605605349804607,0.05913156904588339,0.3682920038700104,0.7321799993515015,1,0.5680962353944778,0.6135105192661285,0.6467769742012024,0.6766110062599182
Indiana,0.6369358142381589,0.030139137061690476,0.5088909864425659,0.718970000743866,1,0.6166009902954102,0.6358630061149597,0.6572110056877136,0.6772639751434326
Iowa,0.49647268553328205,0.12396635715221972,0.15984100103378296,0.7003999948501587,1,0.41096699237823486,0.5355589985847473,0.59067702293396,0.6281229853630066
Kansas,0.4330281444385966,0.16104747972632943,0.08186399936676025,0.7199829816818237,1,0.3165139853954315,0.39392299950122833,0.5727472454309464,0.635398679971695
Kentucky,0.5781064182118887,0.07767117626926169,0.34433698654174805,0.7190430164337158,1,0.5380060076713562,0.5834050178527832,0.6366159915924072,0.6680769920349121
Louisiana,0.32812551160533776,0.14324810652547385,0.014515300281345844,0.6892610192298889,1,0.24029399454593658,0.28453299403190613,0.4151259958744049,0.5692640185356141
Maine,0.07742046144470952,0.10073917506711154,0.004780990071594715,0.6440889835357666,1,0.018648600205779076,0.04290499910712242,0.09680072404444218,0.19953900575637817
Maryland,0.6353513649043613,0.07507060188269861,0.34809499979019165,0.7327769994735718,1,0.5895595103502274,0.6616015136241913,0.6923792511224747,0.7143831074237823
Massachusetts,0.530540731626212,0.17633889138688805,0.0857148990035057,0.695930004119873,1,0.41041524708271027,0.622978001832962,0.6671969890594482,0.6808671176433563
Michigan,0.29672053100548307,0.2422343240584455,0.0025721900165081024,0.7066429853439331,1,0.0770300030708313,0.17563950270414352,0.5584674775600433,0.6351350963115692
Minnesota,0.09529243372869552,0.0823451291977163,0.002466360107064247,0.46630799770355225,1,0.01888119988143444,0.07755489647388458,0.15777899324893951,0.2123589962720871
Mississippi,0.41887591272481045,0.09586748211872718,0.12931600213050842,0.6878719925880432,1,0.34034450352191925,0.41781100630760193,0.4942675083875656,0.5440823912620545
Missouri,0.5354675463469716,0.09504683114549115,0.3356170058250427,0.7322049736976624,1,0.4915737509727478,0.5456609725952148,0.6074410080909729,0.6508081793785095
Montana,0.06733766898524458,0.088713415519794,0.0022393299732357264,0.6754840016365051,1,0.014761899597942829,0.03416670113801956,0.07853829860687256,0.18213859498500834
Nebraska,0.3172851114019941,0.17909248633124836,0.03387710079550743,0.6977599859237671,1,0.14780700206756592,0.2813529968261719,0.4949609935283661,0.5903930068016052
Nevada,0.1045802792353688,0.08427361564118765,0.002891989890486002,0.6614850163459778,1,0.04415940120816231,0.0792091004550457,0.14995700120925903,0.20926159918308257
New Hampshire,0.2168551389264373,0.17788688740514552,0.015151900239288807,0.6851900219917297,1,0.07774659991264343,0.15019600093364716,0.28310200572013855,0.5269553780555726
New Jersey,0.6736884071805099,0.02777338821454624,0.48789501190185547,0.7193120121955872,1,0.6572719812393188,0.678105503320694,0.694586992263794,0.7057533144950867
New Mexico,0.26508518662455777,0.10933256471680891,0.004922110121697187,0.7081469893455505,1,0.2000565007328987,0.27395099401474,0.3093259930610657,0.4109584033489227
New York,0.3246070721124181,0.21209362306918667,0.008181620389223099,0.7143189907073975,1,0.13329899311065674,0.2745159864425659,0.5257009863853455,0.6241821885108948
North Carolina,0.6085198131636875,0.07354769943236428,0.11774200201034546,0.7195510268211365,1,0.5789560079574585,0.624405026435852,0.6575869917869568,0.6833055973052979
North Dakota,0.030951024030499475,0.024328515344340423,0.003748490009456873,0.1810690015554428,1,0.014345699921250343,0.01979539915919304,0.03749559819698334,0.06941139698028564
Ohio,0.6209115885872739,0.04729653033735614,0.3765529990196228,0.717195987701416,1,0.5953390002250671,0.6243500113487244,0.6542010009288788,0.6781579852104187
Oklahoma,0.5414930997096389,0.1079242505240278,0.16677400469779968,0.7206190228462219,1,0.4658080041408539,0.5715019702911377,0.6227414906024933,0.657829999923706
Oregon,0.2189291367890927,0.17060219693801246,0.0025715900119394064,0.7136849761009216,1,0.06635845080018044,0.1795080006122589,0.3472764939069748,0.48338440060615556
Pennsylvania,0.5414868689553779,0.14005467384739284,0.0777548998594284,0.7193710207939148,1,0.46804100275039673,0.5887249708175659,0.644214004278183,0.6749842047691346
Rhode Island,0.6592128435101168,0.02296784871687658,0.5100600123405457,0.6981040239334106,1,0.6462914794683456,0.6574715077877045,0.6748820096254349,0.6908649802207947
South Carolina,0.5909142281567695,0.06413165352323667,0.15421900153160095,0.7193809747695923,1,0.5525934994220734,0.5991340279579163,0.6371265053749084,0.6631039977073669
South Dakota,0.13651667698415237,0.1342414055774409,0.004092419985681772,0.6743199825286865,1,0.04739832412451506,0.07910089939832687,0.1700427532196045,0.34588259756565115
Tennessee,0.5800183745001095,0.0659631723585809,0.13133199512958527,0.7191569805145264,1,0.536166250705719,0.5850589871406555,0.6260957568883896,0.6633620262145996
Texas,0.3745250278205787,0.18699405072747458,0.0036155900452286005,0.7137389779090881,1,0.2578205019235611,0.37851500511169434,0.5387470126152039,0.6000949740409851
Utah,0.17421948408989732,0.1547404044731635,0.0033041599672287703,0.7145479917526245,1,0.05576850101351738,0.13165249675512314,0.22445225343108177,0.3791103035211563
Vermont,0.11726078439705181,0.08734765635440815,0.01589849963784218,0.5104889869689941,1,0.052280974574387074,0.0796147994697094,0.13980575278401375,0.23791449517011642
Virginia,0.5956635896647502,0.07954878750205148,0.1836940050125122,0.7331129908561707,1,0.5630229711532593,0.6094689965248108,0.6479802280664444,0.6800903141498567
Washington,0.2752047545595775,0.1939145637201508,0.001474670018069446,0.7012109756469727,0.9997199449225014,0.07743707671761513,0.28038349747657776,0.41905298829078674,0.5498371958732606
West Virginia,0.4478192542569709,0.0984694042127817,0.07157550007104874,0.7093859910964966,1,0.3708919882774353,0.4430769979953766,0.5245030075311661,0.5728475153446198
Wisconsin,0.1956100230517827,0.15666081668922696,0.007572399917989969,0.699400007724762,1,0.06936507485806942,0.1462939977645874,0.2898309975862503,0.44495201110839844
Wyoming,0.05622319892603975,0.07591765607368216,0.0017307499656453729,0.4943369925022125,0.9999776562387506,0.010573199950158596,0.02458219975233078,0.06906549632549286,0.14172919690608987
