geopol_unit,mean,sd,min,max,rsa,quantile_0.25,quantile_0.50,quantile_0.75,quantile_0.90
Alabama,0.40134145334284616,0.2071482685910437,0.0036226098891347647,0.941864013671875,0.9685185085272489,0.311165988445282,0.4505229890346527,0.5178840160369873,0.6779410243034363
Alaska,3.312593963150693e-4,3.1034493903556225e-5,3.1818001298233867e-4,0.0021858999971300364,0.0025789524460264938,3.2186901080422103e-4,3.2794001162983477e-4,3.314389905426651e-4,3.332610067445785e-4
Arizona,0.05653135073603133,0.14018127080417353,3.197269979864359e-4,0.9318029880523682,0.33080370968787437,0.0010328099597245455,0.0070062801241874695,0.023275399580597878,0.27606499195098877
Arkansas,0.4549169526042871,0.20912129501652874,0.019247500225901604,0.9880200028419495,1,0.37762150913476944,0.4594250023365021,0.5573302656412125,0.6975138127803804
California,0.16400756229387126,0.22395537750960057,3.2006201217882335e-4,0.7101010084152222,0.5448141644278346,0.0028851775568909943,0.017297400161623955,0.3586609959602356,0.5126739740371704
Colorado,0.0745597092197264,0.1678958584135975,3.3240701304748654e-4,0.9549760222434998,0.4559982758022722,6.560630281455815e-4,0.011802350170910358,0.02699467446655035,0.34032900631427765
Connecticut,0.5901377997991378,0.2348119967903059,0.008256849832832813,0.9867730140686035,0.9912744315915437,0.41598500311374664,0.5356060266494751,0.7836929857730865,0.9442430138587952
Delaware,0.5844865651538247,0.18655406083063691,0.06139000132679939,0.9880369901657104,1,0.4546850025653839,0.5019519925117493,0.7029555141925812,0.9230390191078186
District of Columbia,0.8176392441795718,0.016515439960611694,0.8150439858436584,0.9224069714546204,1,0.8150439858436584,0.8150439858436584,0.8150439858436584,0.8150439858436584
Florida,0.006325293913598385,0.011544738416821326,3.242880047764629e-4,0.437514990568161,0.11896997810744193,5.239879828877747e-4,0.0018341599497944117,0.010568650206550956,0.014732369873672737
Georgia,0.30856861766638166,0.2687484961546304,6.572220008820295e-4,0.9880290031433105,0.8266079169923957,0.018647199496626854,0.35974401235580444,0.49059900641441345,0.6812296032905579
Hawaii,6.021530429007925e-4,0.0022364663264925326,3.2010299037210643e-4,0.29553601145744324,0.012101421436803688,3.3441500272601843e-4,4.7127201105467975e-4,6.532130064442754e-4,9.089998085983098e-4
Idaho,0.025536393711644803,0.09272432315812558,3.285220009274781e-4,0.9163269996643066,0.15495861900515204,4.598285013344139e-4,8.715410076547414e-4,0.0075436001643538475,0.027009060606360442
