geopol_unit,obs_mean,obs_sd,obs_min,obs_max,quantile_0.25,quantile_0.50,quantile_0.75,quantile_0.90
Alabama,0.3199621485407663,0.10456714610416917,0.03951418027281761,0.6763210296630859,0.2638646364212036,0.3534802794456482,0.3863271176815033,0.4182496666908264
Alaska,9.388922853829384e-4,0.001231050615978286,2.7020982815884054e-4,0.03492872044444084,4.68150174128823e-4,8.080743427854031e-4,9.738039807416499e-4,0.001287768071051687
Arizona,0.0852338327892011,0.0944656681381743,3.3851026091724634e-4,0.575265645980835,0.019251110032200813,0.05776558071374893,0.11894896253943443,0.24493063986301422
Arkansas,0.3487360612431517,0.1078801582855484,0.10936225950717926,0.7344143390655518,0.30238810926675797,0.3597673624753952,0.4001599848270416,0.4309767365455628
California,0.16389181783058443,0.14515308928678466,3.5531900357455015e-4,0.6648606657981873,0.036132846027612686,0.1091575026512146,0.2984156012535095,0.3819127768278122
Colorado,0.09913606296860972,0.11266644586691034,0.0010235219961032271,0.5813938975334167,0.012197806732729077,0.0852007046341896,0.12712574750185013,0.27944307029247284
Connecticut,0.5103669890440088,0.17585487387756196,0.07283325493335724,0.8727389574050903,0.3906804919242859,0.45831331610679626,0.6247934997081757,0.7896726727485657
Delaware,0.49650329117620745,0.16536708010644188,0.16090330481529236,0.8667730093002319,0.38096532225608826,0.40887966752052307,0.5946525037288666,0.801030945777893
District of Columbia,0.6640239855454814,0.04991594365811472,0.5827450156211853,0.7742786407470703,0.6220092624425888,0.6434773206710815,0.6969830691814423,0.7460510313510895
Florida,0.04591483922253003,0.03883547064881463,5.805733962915838e-4,0.30185189843177795,0.00990331033244729,0.03111884742975235,0.08086474984884262,0.09852268397808076
Georgia,0.2711757243034439,0.1535165612658127,0.011997292749583721,0.7072929739952087,0.10873398929834366,0.291373610496521,0.38223591446876526,0.4422583460807801
Hawaii,0.00847742598043762,0.00822006079554743,3.8712681271135807e-4,0.26172706484794617,0.0010972266318276525,0.007241500541567802,0.013587216846644878,0.018252600729465485
Idaho,0.04779847350526483,0.07400741257345446,7.933666929602623e-4,0.5593595504760742,0.006247868877835572,0.016547739505767822,0.061717293225228786,0.12671851217746735
Illinois,0.40284685885011773,0.08605707267286614,0.14151522517204285,0.6739619970321655,0.35504745692014694,0.3777860105037689,0.42498528212308884,0.5526030957698822
Indiana,0.44896762849854505,0.10212230805929336,0.30271440744400024,0.8192253112792969,0.3757801055908203,0.40831100940704346,0.5029866695404053,0.615630030632019
Iowa,0.2877513847155101,0.11867973301930594,0.05593379959464073,0.6591230034828186,0.15903544798493385,0.3395591080188751,0.37198521196842194,0.4101898699998856
Kansas,0.24221236126274587,0.15147729903329327,0.028218071907758713,0.6685033440589905,0.11277605406939983,0.15252286195755005,0.36680663377046585,0.4177556484937668
Kentucky,0.42271093298625967,0.13438552939544263,0.12623794376850128,0.8112969994544983,0.37350013852119446,0.40344899892807007,0.4448283612728119,0.632436990737915
Louisiana,0.14949475165620352,0.10803843275804681,0.005009528249502182,0.5625435709953308,0.08591119199991226,0.1027619019150734,0.16121506690979004,0.3543498456478119
Maine,0.032044389690386935,0.05241257747493156,0.0018237180775031447,0.4665600061416626,0.006567452335730195,0.014889759942889214,0.03419643547385931,0.07616326957941055
Maryland,0.5418888654598859,0.1737368622842414,0.125758558511734,0.8614736795425415,0.38905075937509537,0.5493989884853363,0.7077890634536743,0.7652490675449372
Massachusetts,0.38703338620277167,0.1970999175316582,0.03599432855844498,0.8629850149154663,0.1798083744943142,0.41476234793663025,0.5512050837278366,0.6225195229053497
Michigan,0.165277594889873,0.1683859301902666,0.0010159383527934551,0.6035106778144836,0.02641681721433997,0.061495646834373474,0.34469203650951385,0.3985022991895676
Minnesota,0.03404161651933242,0.03035358015247225,9.992360137403011e-4,0.30511268973350525,0.006542880553752184,0.026990585029125214,0.05627933517098427,0.07635739594697953
Mississippi,0.206697898395632,0.10213871456091386,0.045191094279289246,0.6380346417427063,0.12204098328948021,0.1625751554965973,0.28446730971336365,0.3668576717376709
Missouri,0.3398134193220712,0.12422941394706466,0.12105274945497513,0.7565673589706421,0.2880464792251587,0.36044156551361084,0.40377870947122574,0.4551901608705522
Montana,0.024669853937315186,0.039201359126689775,8.771175635047257e-4,0.505042314529419,0.005086496938019991,0.011626259423792362,0.026785508263856173,0.06336209326982498
Nebraska,0.15915026045563732,0.1385003783671293,0.011526012793183327,0.6615599989891052,0.05155057646334171,0.09939130395650864,0.28236036747694016,0.38134129941463474
Nevada,0.03709979859814135,0.03459856717484025,0.0010762803722172976,0.4525979161262512,0.015002424363046885,0.027049485594034195,0.05220272205770016,0.07321133390069004
New Hampshire,0.10593085569675569,0.11801012179779401,0.0066247014328837395,0.6313976645469666,0.029341626912355423,0.059567246586084366,0.12162058427929878,0.34265938997268697
New Jersey,0.6686009518868153,0.15810455675117502,0.28651556372642517,0.87485671043396,0.5495250076055527,0.713687002658844,0.8096604943275452,0.8300955832004546
New Mexico,0.10205754414902546,0.06255411570501994,0.0017969902837648988,0.582361102104187,0.06977780163288116,0.0965559333562851,0.11018240824341774,0.15967879891395564
New York,0.18586935664229487,0.18279776275411422,0.0032434556633234024,0.8671753406524658,0.04889646917581558,0.10647853463888168,0.3339286148548126,0.4040156722068787
North Carolina,0.4251874160482548,0.12172853901763238,0.04522908106446266,0.793799638748169,0.3580203056335449,0.3876614272594452,0.48851636052131653,0.6155217409133912
North Dakota,0.010673781784528012,0.008487315202431164,0.0013912288704887033,0.06732020527124405,0.004955583601258695,0.0067822730634361506,0.012811408843845129,0.02386363428086045
Ohio,0.41896482230649046,0.09222863493986591,0.1501408964395523,0.8140580058097839,0.3592180460691452,0.38334086537361145,0.449408158659935,0.5699082970619203
Oklahoma,0.3250040190483491,0.11859202835122168,0.05815277248620987,0.6506406664848328,0.2836094796657562,0.35321754217147827,0.3833748996257782,0.44439317584037785
Oregon,0.11774829496542813,0.1469926216534028,0.001276293653063476,0.8362110257148743,0.023018373176455498,0.06402530521154404,0.14056921005249023,0.31235715746879583
Pennsylvania,0.3776905777091179,0.19573048252668823,0.02674928307533264,0.8766603469848633,0.26457810401916504,0.36676281690597534,0.43538083136081696,0.6934599161148073
