geopol_unit,mean,sd,min,max,rsa,quantile_0.25,quantile_0.50,quantile_0.75,quantile_0.90
√Öland,1.14E-04,8.94E-05,5.78E-05,9.38E-04,0.219007092,9.66E-05,1.00E-04,1.06E-04,1.10E-04
Afghanistan,0.001843847,0.008574808,8.23E-07,0.438057005,0.050601434,3.09E-05,1.31E-04,6.44E-04,0.00260576
Akrotiri and Dhekelia,0.001202092,5.36E-04,9.23E-05,0.00255922,0.047761194,0.001052455,0.00130572,0.00153247,0.001767534
Albania,0.070919286,0.094608504,1.98E-04,0.740661979,0.79295432,0.009304955,0.037240501,0.0860359,0.193244806
Algeria,0.00132881,0.012397952,6.43E-08,0.728338003,0.036398807,4.14E-07,8.78E-07,2.45E-06,2.61E-04
American Samoa,1.95E-05,1.38E-05,6.51E-06,9.84E-05,0.102941176,1.20E-05,1.49E-05,2.12E-05,3.02E-05
Andorra,0.010007583,0.004297007,0.00127748,0.0200164,0.81232493,0.007888492,0.00980692,0.01280975,0.01582753
Angola,7.41E-04,0.003298243,1.51E-06,0.128095999,0.021673506,3.21E-05,1.10E-04,2.92E-04,0.001007014
Anguilla,1.64E-06,1.05E-07,1.40E-06,1.84E-06,0.234693878,1.55E-06,1.66E-06,1.72E-06,1.78E-06
Antarctica,NaN,NA,Inf,NA,1,NA,NA,NA,NA
Antigua and Barbuda,4.73E-06,2.90E-06,1.42E-06,1.29E-05,0.026217228,1.62E-06,4.01E-06,7.13E-06,8.16E-06
Argentina,0.001967217,0.006442618,6.72E-06,0.194701001,0.073635088,6.42E-05,2.63E-04,0.00126129,0.0045308
Armenia,0.004348139,0.010300053,2.98E-05,0.087890901,0.130877449,3.73E-04,9.95E-04,0.00304813,0.008668824
Aruba,4.38E-07,7.24E-08,2.80E-07,7.11E-07,0.051162791,3.90E-07,4.43E-07,4.83E-07,5.26E-07
Australia,0.00127004,0.012528548,2.35E-07,0.68482399,0.029303758,1.92E-06,4.05E-06,1.43E-05,2.68E-04
Austria,0.018312631,0.019886746,1.92E-04,0.243480995,0.708850152,0.00537718,0.0126351,0.0216124,0.044923639
Azerbaijan,0.010609507,0.021439697,3.11E-05,0.280041009,0.360106739,9.39E-04,0.00338356,0.0118611,0.025759
Bahamas,6.36E-05,3.64E-04,1.15E-06,0.00342264,0.066176899,3.51E-06,2.04E-05,2.33E-05,2.66E-05
Bahrain,6.70E-05,2.24E-05,2.18E-06,1.01E-04,0.078918919,5.90E-05,7.18E-05,8.28E-05,8.85E-05
Bangladesh,0.002772274,0.001836558,9.54E-06,0.0100155,0.038600317,0.00138055,0.002616255,0.003898097,0.00535976
Barbados,0.001150159,2.61E-04,6.02E-04,0.00194787,0.007590133,9.53E-04,0.00112646,0.00129838,0.00151209
Belarus,0.002388239,0.003058068,8.61E-05,0.019238999,0.119203054,6.10E-04,0.0012709,0.002297,0.007109966
Belgium,0.102166192,0.087679697,0.00269865,0.406628013,0.95536302,0.028570599,0.084029302,0.14048725,0.245966002
Belize,7.02E-05,1.18E-04,7.45E-06,0.00156803,0.008426132,2.27E-05,3.93E-05,7.42E-05,1.27E-04
Benin,1.46E-04,3.02E-04,1.26E-06,0.00355687,0,1.29E-05,3.77E-05,1.25E-04,3.34E-04
Bermuda,5.30E-05,1.85E-06,4.36E-05,5.72E-05,0.302083333,5.21E-05,5.28E-05,5.39E-05,5.52E-05
Bhutan,0.015478553,0.07294832,2.27E-06,0.949418008,0.239435514,2.10E-04,6.45E-04,0.00604199,0.016705379
Bolivia,0.001132294,0.009531433,1.15E-06,0.673398018,0.028538551,1.36E-05,2.41E-05,2.08E-04,0.001171138
"Bonaire, Sint Eustatius and Saba",1.43E-06,4.05E-06,2.10E-07,4.10E-05,0.056410256,2.94E-07,3.44E-07,5.34E-07,7.42E-07
Bosnia and Herzegovina,0.042279176,0.066366155,2.09E-04,0.687694013,0.653256011,0.004164695,0.01669535,0.048528,0.116266399
Botswana,5.17E-05,2.35E-04,1.60E-06,0.00636957,0,4.14E-06,6.44E-06,1.00E-05,6.66E-05
Bouvet Island,0.001314494,6.67E-05,0.00114525,0.00142792,0.311688312,0.001282068,0.00132695,0.001359583,0.001391495
Brazil,0.00234862,0.012387063,6.39E-07,0.867343009,0.076935781,1.75E-05,3.39E-05,3.39E-04,0.00395434
British Indian Ocean Territory,7.88E-06,4.96E-07,6.06E-06,8.35E-06,0.6375,7.73E-06,7.98E-06,8.22E-06,8.25E-06
British Virgin Islands,8.65E-06,5.46E-06,1.80E-06,2.66E-05,0.275362319,2.99E-06,8.63E-06,1.13E-05,1.52E-05
Brunei,1.79E-04,3.77E-04,8.34E-06,0.00187988,0.004275394,1.13E-05,2.84E-05,1.10E-04,6.72E-04
Bulgaria,0.0110782,0.018282234,4.99E-05,0.183615997,0.411898524,0.00168668,0.00485257,0.0109909,0.025155389
Burkina Faso,3.99E-05,7.54E-05,7.29E-07,0.00173893,0,4.76E-06,1.43E-05,3.65E-05,1.22E-04
Burundi,0.021072536,0.029239081,3.28E-05,0.37360701,0.625091082,0.00341115,0.0114052,0.0301213,0.049122579
Côte d'Ivoire,2.52E-04,4.63E-04,2.06E-06,0.00809795,9.22E-05,2.73E-05,8.44E-05,2.37E-04,7.50E-04
Cambodia,1.07E-04,2.01E-04,5.04E-06,0.00260855,8.28E-05,1.54E-05,3.84E-05,9.81E-05,2.22E-04
Cameroon,8.16E-04,0.00466531,1.52E-06,0.612318993,0.029421153,3.77E-05,7.70E-05,3.49E-04,0.001432073
Canada,8.01E-04,0.009774474,1.18E-07,0.913348973,0.028063752,1.59E-05,5.48E-05,1.68E-04,5.23E-04
Cape Verde,7.97E-04,0.001846626,1.11E-05,0.032830801,0.075827482,4.22E-05,8.32E-05,5.19E-04,0.00291834
Caspian Sea,0.016568244,0.06950459,1.18E-05,0.629724026,0.992336311,1.75E-04,2.77E-04,5.75E-04,0.02394906
Cayman Islands,9.06E-06,7.71E-07,7.96E-06,1.13E-05,0.168115942,8.59E-06,8.82E-06,9.25E-06,1.02E-05
Central African Republic,4.31E-05,1.27E-04,2.11E-06,0.00469709,0,2.28E-05,3.08E-05,4.08E-05,5.40E-05
Chad,1.26E-05,6.73E-05,1.09E-07,0.00513235,0,1.02E-06,2.19E-06,4.87E-06,1.81E-05
Chile,0.042309474,0.132874899,4.61E-06,0.973580003,0.229741591,1.61E-04,0.001076685,0.003214658,0.107261002
