geopol_unit,mean,sd,min,max,rsa,quantile_0.25,quantile_0.50,quantile_0.75,quantile_0.90
√Öland,7.05E-04,3.00E-04,4.92E-04,0.00326775,0.219007092,5.15E-04,6.28E-04,6.75E-04,0.001172578
Afghanistan,0.025492935,0.09779768,3.16E-04,0.985556006,0.14470153,3.39E-04,4.85E-04,0.00605318,0.0194814
Akrotiri and Dhekelia,0.01243532,0.005232805,0.00726109,0.096753202,0.095522388,0.0115396,0.012264,0.0128572,0.013498
Albania,0.38295728,0.278506746,3.49E-04,0.987766027,0.869875664,0.051166449,0.42159,0.532787502,0.729653203
Algeria,0.040807954,0.149006257,3.16E-04,0.98803699,0.096889522,3.18E-04,3.18E-04,3.30E-04,0.0119785
American Samoa,3.25E-04,2.91E-06,3.21E-04,3.27E-04,0.102941176,3.21E-04,3.27E-04,3.27E-04,3.27E-04
Andorra,0.030402937,0.115244894,4.79E-04,0.70935899,0.1232493,6.28E-04,0.0014686,0.00412564,0.02272483
Angola,0.001875432,0.016936118,3.16E-04,0.710085988,0.007356497,3.30E-04,3.82E-04,5.50E-04,0.00274738
Anguilla,3.25E-04,7.02E-08,3.25E-04,3.25E-04,0.234693878,3.25E-04,3.25E-04,3.25E-04,3.25E-04
Antarctica,NaN,NA,Inf,NA,1,NA,NA,NA,NA
Antigua and Barbuda,3.44E-04,8.54E-06,3.28E-04,3.55E-04,0.026217228,3.34E-04,3.48E-04,3.51E-04,3.52E-04
Argentina,0.090897591,0.194013016,3.17E-04,0.988038003,0.310031007,7.01E-04,0.00518483,0.026457751,0.451719999
Armenia,0.075283526,0.168288639,3.38E-04,0.927253008,0.319750878,8.30E-04,0.00328844,0.028088749,0.355662793
Aruba,3.79E-04,7.56E-06,3.74E-04,4.01E-04,0.051162791,3.74E-04,3.74E-04,3.80E-04,3.95E-04
Australia,0.023885926,0.108842757,3.17E-04,0.988038003,0.105145214,3.20E-04,3.29E-04,5.66E-04,0.0175742
Austria,0.197440374,0.260993894,3.35E-04,0.987963974,0.471871905,0.00176524,0.00974472,0.424643993,0.538274419
Azerbaijan,0.3350791,0.262987099,3.32E-04,0.988026977,0.845882496,0.048701501,0.389905006,0.5039545,0.68592
Bahamas,3.39E-04,3.58E-05,3.22E-04,6.01E-04,0.066176899,3.26E-04,3.30E-04,3.33E-04,3.53E-04
Bahrain,3.56E-04,7.90E-06,3.26E-04,3.61E-04,0.078918919,3.55E-04,0.000359041,3.61E-04,3.61E-04
Bangladesh,4.16E-04,3.37E-05,3.18E-04,5.11E-04,5.28E-04,4.04E-04,4.23E-04,4.32E-04,4.57E-04
Barbados,5.30E-04,2.72E-05,4.80E-04,5.93E-04,0.007590133,5.01E-04,5.40E-04,5.51E-04,5.57E-04
Belarus,0.004887445,0.008923296,4.01E-04,0.566420972,0.012413326,0.001916845,0.00415278,0.00653032,0.00785298
Belgium,0.739255101,0.24218877,0.00657769,0.98803699,0.991086837,0.574848771,0.833149523,0.92815952,0.957464224
Belize,3.66E-04,4.13E-05,3.20E-04,5.55E-04,0.008426132,3.31E-04,3.60E-04,3.87E-04,4.32E-04
Benin,4.09E-04,5.00E-05,3.20E-04,5.88E-04,0,3.72E-04,4.03E-04,4.47E-04,4.78E-04
Bermuda,3.24E-04,3.03E-06,3.24E-04,3.42E-04,0.302083333,3.24E-04,3.24E-04,3.24E-04,3.24E-04
Bhutan,0.018904443,0.083919092,3.18E-04,0.710085988,0.093858564,3.44E-04,6.39E-04,0.00174437,0.0137014
Bolivia,0.013014472,0.067072373,3.17E-04,0.710085988,0.08319639,3.24E-04,3.43E-04,4.86E-04,0.009293648
"Bonaire, Sint Eustatius and Saba",3.30E-04,2.13E-06,3.24E-04,3.34E-04,0.056410256,3.29E-04,3.30E-04,3.32E-04,3.33E-04
Bosnia and Herzegovina,0.308602899,0.27386245,3.81E-04,0.987668991,0.767512384,0.018156276,0.374773994,0.495261014,0.686357427
Botswana,0.001322559,0.011421649,3.19E-04,0.435211986,0.004569535,3.24E-04,3.47E-04,4.03E-04,0.001074752
Bouvet Island,3.27E-04,6.50E-07,3.26E-04,3.28E-04,0.311688312,3.26E-04,3.27E-04,3.27E-04,3.27E-04
Brazil,0.014195136,0.075147282,3.20E-04,0.930513024,0.059571119,3.21E-04,3.55E-04,4.40E-04,0.00643038
British Indian Ocean Territory,3.21E-04,8.16E-10,3.21E-04,3.21E-04,0.6375,3.21E-04,3.21E-04,3.21E-04,3.21E-04
British Virgin Islands,3.39E-04,5.79E-06,3.28E-04,3.48E-04,0.275362319,3.34E-04,3.34E-04,3.43E-04,3.47E-04
Brunei,3.77E-04,5.21E-05,3.21E-04,4.89E-04,0.004275394,3.27E-04,3.69E-04,4.20E-04,4.58E-04
Bulgaria,0.341228863,0.269576403,3.92E-04,0.988035977,0.907962719,0.049746402,0.389727503,0.511207998,0.691667384
Burkina Faso,3.83E-04,3.25E-05,3.20E-04,5.19E-04,0,3.57E-04,3.84E-04,4.05E-04,4.22E-04
Burundi,0.127856689,0.201610759,3.72E-04,0.745604992,0.465262157,0.00662127,0.0130462,0.280712008,0.455611604
Côte d'Ivoire,4.23E-04,5.74E-05,3.21E-04,8.23E-04,4.21E-05,3.78E-04,4.19E-04,4.60E-04,5.05E-04
Cambodia,3.74E-04,5.37E-05,3.18E-04,0.00598126,8.28E-05,3.30E-04,3.61E-04,4.12E-04,4.50E-04
Cameroon,5.26E-04,0.003509667,3.18E-04,0.432181001,0.002564547,3.31E-04,3.69E-04,4.07E-04,4.34E-04
