geopol_unit,mean,sd,min,max,rsa,quantile_0.25,quantile_0.50,quantile_0.75,quantile_0.90
Åland,0.035474289,0.015204003,0.021388199,0.109440997,1,0.023574701,0.032980502,0.036454801,0.06232298
Afghanistan,0.097024557,0.143399805,1.85E-04,0.714075029,0.850113602,0.0035524,0.020741301,0.143233001,0.310034007
Akrotiri and Dhekelia,0.244794107,0.026991161,0.171397999,0.442454994,1,0.239232004,0.247761995,0.254323989,0.261027992
Albania,0.489205226,0.180768823,0.00496133,0.716986001,1,0.381119996,0.549621999,0.6218355,0.664943397
Algeria,0.06025,0.164658232,1.85E-04,0.729542971,0.25057733,3.72E-04,3.86E-04,0.00215131,0.244471997
American Samoa,0.001529656,4.34E-04,8.83E-04,0.00184655,0.102941176,9.21E-04,0.00184069,0.001842108,0.001843457
Andorra,0.111911257,0.130939164,0.020117201,0.560290992,1,0.0330243,0.07276975,0.120015251,0.329842696
Angola,0.031491928,0.056727541,1.85E-04,0.617365003,0.819724349,0.00223889,0.00929946,0.026729999,0.101542003
Anguilla,0.001468478,1.05E-05,0.00143555,0.00148313,0.234693878,0.00147117,0.00147133,0.00147143,0.001471526
Antarctica,NaN,NA,Inf,NA,1,NA,NA,NA,NA
Antigua and Barbuda,0.004252477,0.001208844,0.00189582,0.00572598,0.934456929,0.00285117,0.00482079,0.005270635,0.005273515
Argentina,0.203252381,0.198271971,3.21E-04,0.734996021,0.970524254,0.038191674,0.130337998,0.349013254,0.54537499
Armenia,0.200408528,0.183691876,0.00341362,0.687979996,1,0.046167899,0.109728001,0.356454,0.494532204
Aruba,0.00888047,9.47E-04,0.00825579,0.0116152,1,0.008295007,0.00830528,0.009075935,0.01083624
Australia,0.06282316,0.140227988,2.84E-04,0.735607028,0.510305283,7.09E-04,0.00214925,0.0280772,0.296541005
Austria,0.311129125,0.244175734,0.00300569,0.707642019,1,0.081264399,0.215091005,0.586266994,0.640200984
Azerbaijan,0.465947737,0.189769904,0.00246597,0.72913599,1,0.374366492,0.527149975,0.610467017,0.652073026
Bahamas,0.003322014,0.004087896,0.00104017,0.0309355,0.588886945,0.00165359,0.002274855,0.00272298,0.00545863
Bahrain,0.005881866,0.00109767,0.00168127,0.00653945,0.997837838,0.00578915,0.00629645,0.00653945,0.00653945
Bangladesh,0.013259392,0.004045779,0.000439209,0.023184599,0.971105965,0.0119743,0.0141324,0.015231,0.017914601
Barbados,0.024903379,0.002473245,0.020190099,0.0302916,1,0.02229295,0.0258724,0.02678915,0.02729826
Belarus,0.123854002,0.052382138,0.0116415,0.528661013,1,0.085056551,0.120311998,0.155088,0.183253804
Belgium,0.647707354,0.081119874,0.156209007,0.714371979,1,0.652520254,0.675345004,0.688308001,0.701317316
