geopol_unit,avg_wine,x_coord,y_coord
Italy,4375847.667,12.07001339,42.79662641
France,4265552,2.534273,46.953924
Spain,4109320,-3.471185,40.375114
United States,3168000,-98.58333333,39.83333333
China,1683333.333,101.583644,34.750853
Argentina,1387595,-65.179343,-35.271874
Chile,1250488.667,-70.792119,-34.156422
Australia,1214424.667,134.364298,-25.560144
South Africa,1100339,26.031934,-28.586945
Germany,887433.3333,10.241911,51.037294
Portugal,609602,-8.031553,39.917807
Russian Federation,507866.6667,94.25,66.41666667
Romania,408257.3333,25.204882,45.926905
Greece,313124.6667,22.118415,39.653979
Brazil,280966.6667,-51.525237,-11.567584
Hungary,259088.6667,19.491733,46.908381
New Zealand,254266.6667,172.93902,-42.03628
Austria,218179.6667,13.727842,47.398958
Serbia,215422,20.787193,44.236795
Moldova,152116.6667,28.587729,47.136475
Ukraine,144951.3333,32.065026,49.281461
Bulgaria,131566.6667,25.248219,42.689744
Georgia,97100,43.587742,41.991777
Switzerland,92538.3333,8.353429,46.791451
Japan,81666.6667,138.824266,36.440695
Uruguay,79389.3333,-55.957401,-32.692399
North Macedonia,77151,21.688282,41.646438
Peru,69333.3333,-75.84148,-8.195157
Canada,62141.3333,-98.666791,59.277544
Czechia,51766.6667,15.553908,49.808628
Algeria,50333.3333,2.47865,27.568192
Croatia,46344.6667,15.759569,45.301093
Mexico,39972.6667,-99.786525,20.302436
Turkmenistan,39000,39.201565,39.201565
Uzbekistan,36450,63.80075,41.319152
Morocco,36166.6667,-6.34452,32.28587
Turkey,35772.3333,35.355451,39.372478
Slovakia,33994.3333,19.439999,48.762554
Albania,30833.3333,20.0851,41.116045
Belarus,28430,27.934902,53.522605
Tunisia,27567.6667,9.447753,34.347634
Slovenia,20076.3333,14.870405,46.079519
Kazakhstan,19466.6667,67.597389,48.737976
Montenegro,16473.3333,19.196788,42.812176
Lebanon,14800,35.782541,33.889702
Colombia,12349,-73.236699,3.879992
Cuba,12033.3333,-78.886836,21.877827
Cyprus,10671.6667,33.206517,35.011783
Estonia,10465,25.798868,58.739925
Luxembourg,10362.3333,6.098395,49.766202
Bolivia,8582,-64.50486,-16.723003
Azerbaijan,8386.6667,47.908418,40.417748
Madagascar,8366.6667,46.95548,-19.396048
Armenia,6134.6667,44.97195,40.241316
Lithuania,6075.6667,23.983827,55.245927
Israel,5000,34.989985,31.599506
Bosnia and Herzegovina,4916,17.820628,44.220979
Egypt,4666.6667,30.713178,27.71199
Belgium,2888,4.676811,50.638426
Malta,2457.3333,14.405447,35.917315
Latvia,2283.3333,24.751786,56.824057
Zimbabwe,1750,29.646883,-18.887923
Kyrgyzstan,1588,74.562467,41.354834
Paraguay,1443.3333,-58.311544,-23.408849
Ethiopia,1275,39.332109,8.458441
United Kingdom,689.6667,-2.22398,54.015452
Jordan,479.6667,36.306897,31.224298
Tajikistan,150.3333,71.020372,38.719218
Panama,121.6667,-80.214275,8.659453
Liechtenstein,78,9.559082,47.142432
Syrian Arab Republic,75,38.44045,35.079378
Reunion,30,55.534168,-21.131027
