name,latitude,longitude,prov,date,key
"Lycorma delicatula (White, 1845)",39.976106,-75.179578,gbif,2020-05-10,2626500636
"Lycorma delicatula (White, 1845)",39.852825,-75.190267,gbif,2020-06-07,2641411163
"Lycorma delicatula (White, 1845)",39.665845,-75.5691,gbif,2020-06-11,2641578695
"Lycorma delicatula (White, 1845)",37.493449,128.457042,gbif,2020-06-07,2802590951
"Lycorma delicatula (White, 1845)",40.37264,-75.009907,gbif,2020-06-17,2802752901
"Lycorma delicatula (White, 1845)",40.502097,-74.81655,gbif,2020-06-18,2802762483
"Lycorma delicatula (White, 1845)",40.013205,-75.370391,gbif,2020-06-21,2802811446
"Lycorma delicatula (White, 1845)",40.059944,116.28388699999999,gbif,2020-06-21,2802835195
"Lycorma delicatula (White, 1845)",39.881306,-76.064824,gbif,2020-06-25,2803110427
"Lycorma delicatula (White, 1845)",40.222729,-74.35214,gbif,2020-06-19,2803114624
"Lycorma delicatula (White, 1845)",31.191502,121.497813,gbif,2020-06-30,2813935117
"Lycorma delicatula (White, 1845)",39.240517,118.203895,gbif,2020-06-28,2814023327
"Lycorma delicatula (White, 1845)",39.89208,116.455889,gbif,2020-06-16,2814191428
"Lycorma delicatula (White, 1845)",40.642346,117.46374900000001,gbif,2020-06-27,2814283253
"Lycorma delicatula (White, 1845)",39.73525,-75.514753,gbif,2020-06-27,2814298340
"Lycorma delicatula (White, 1845)",40.585037,-76.353123,gbif,2020-07-04,2813970141
"Lycorma delicatula (White, 1845)",40.035831,-75.113113,gbif,2020-07-03,2813976545
"Lycorma delicatula (White, 1845)",31.31658,120.726662,gbif,2020-07-02,2814357431
"Lycorma delicatula (White, 1845)",40.669289,-76.193012,gbif,2020-07-11,2818504822
"Lycorma delicatula (White, 1845)",39.9211,-75.390222,gbif,2020-07-13,2818585093
"Lycorma delicatula (White, 1845)",40.257212,-76.540153,gbif,2020-07-11,2818735799
"Lycorma delicatula (White, 1845)",39.983735,-76.357759,gbif,2020-07-12,2818778935
"Lycorma delicatula (White, 1845)",40.063329,116.396124,gbif,2020-07-15,2818812403
"Lycorma delicatula (White, 1845)",40.85593,-75.466941,gbif,2020-07-19,2823091067
"Lycorma delicatula (White, 1845)",35.470826,128.2132,gbif,2020-07-18,2823101137
"Lycorma delicatula (White, 1845)",35.800537,128.520072,gbif,2020-07-18,2823113771
"Lycorma delicatula (White, 1845)",35.885065,128.53686,gbif,2020-07-16,2823121113
"Lycorma delicatula (White, 1845)",31.239151,121.568466,gbif,2020-07-19,2823198925
"Lycorma delicatula (White, 1845)",31.995064,118.994494,gbif,2020-07-20,2823214310
"Lycorma delicatula (White, 1845)",31.320992,121.380538,gbif,2020-07-03,2823348480
"Lycorma delicatula (White, 1845)",39.773825,-75.139499,gbif,2020-07-23,2823427651
"Lycorma delicatula (White, 1845)",37.017331,127.201542,gbif,2020-07-25,2826209892
"Lycorma delicatula (White, 1845)",40.447441,-75.868523,gbif,2020-07-25,2826275998
"Lycorma delicatula (White, 1845)",40.26486,-74.64266,gbif,2020-07-25,2826373978
"Lycorma delicatula (White, 1845)",40.071674,-76.478222,gbif,2020-07-23,2826376766
"Lycorma delicatula (White, 1845)",36.801029,127.228353,gbif,2020-07-26,2826380083
"Lycorma delicatula (White, 1845)",35.840506,127.06715,gbif,2020-07-26,2826381069
"Lycorma delicatula (White, 1845)",31.09907,121.551211,gbif,2020-07-25,2826405921
"Lycorma delicatula (White, 1845)",40.714064,-74.089716,gbif,2020-07-29,2826430697
"Lycorma delicatula (White, 1845)",37.329809,127.255351,gbif,2020-07-28,2826437440
