"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","7.85",""
"SURVEY","2017","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","5.09",""
"SURVEY","2017","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.61",""
"SURVEY","2017","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","5.67",""
"SURVEY","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.13",""
"SURVEY","2017","YEAR","","STATE","OHIO","39","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.09",""
"SURVEY","2017","YEAR","","STATE","OREGON","41","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.35",""
"SURVEY","2017","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","7.05",""
"SURVEY","2017","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.56",""
"SURVEY","2017","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.1",""
"SURVEY","2017","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","5.74",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","8.03",""
"SURVEY","2016","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","7.41",""
"SURVEY","2016","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.14",""
"SURVEY","2016","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","5.03",""
"SURVEY","2016","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.13",""
"SURVEY","2016","YEAR","","STATE","OHIO","39","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.67",""
"SURVEY","2016","YEAR","","STATE","OREGON","41","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.05",""
"SURVEY","2016","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","6.6",""
"SURVEY","2016","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.02",""
"SURVEY","2016","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.13",""
"SURVEY","2016","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","6.71",""
"SURVEY","2015","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.14",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","7.93",""
"SURVEY","2015","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.33",""
"SURVEY","2015","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","6.2",""
"SURVEY","2015","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.32",""
"SURVEY","2015","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","4.14",""
"SURVEY","2015","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.17",""
"SURVEY","2015","YEAR","","STATE","OHIO","39","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.5",""
"SURVEY","2015","YEAR","","STATE","OREGON","41","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.43",""
"SURVEY","2015","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","5.92",""
"SURVEY","2015","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2015","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.42",""
