name,latitude,longitude,prov,date,key
Ailanthus altissima (Mill.) Swingle,40.275075,-90.041193,gbif,2020-01-02,2550005417
Ailanthus altissima (Mill.) Swingle,41.871485,-87.61595,gbif,2020-01-07,2550061541
Ailanthus altissima (Mill.) Swingle,40.145083,-75.350433,gbif,2020-01-09,2550134656
Ailanthus altissima (Mill.) Swingle,41.755293,-86.60413,gbif,2020-01-05,2557736128
Ailanthus altissima (Mill.) Swingle,-28.501375,28.685603,gbif,2020-01-09,2557738952
Ailanthus altissima (Mill.) Swingle,41.759436,-72.194648,gbif,2020-01-10,2557747914
Ailanthus altissima (Mill.) Swingle,-26.065947,28.124853,gbif,2020-01-11,2557758124
Ailanthus altissima (Mill.) Swingle,55.675418,13.070173,gbif,2020-01-14,2558796055
Ailanthus altissima (Mill.) Swingle,42.588831,-72.587217,gbif,2020-01-15,2563496166
Ailanthus altissima (Mill.) Swingle,39.969647,-74.734506,gbif,2020-01-05,2563513291
Ailanthus altissima (Mill.) Swingle,-43.195154,172.697267,gbif,2020-01-21,2563541903
Ailanthus altissima (Mill.) Swingle,40.160344,-74.123105,gbif,2020-01-21,2563548747
Ailanthus altissima (Mill.) Swingle,41.379464,-74.69785,gbif,2020-01-20,2563624153
Ailanthus altissima (Mill.) Swingle,38.370762,-78.999747,gbif,2020-01-30,2563652227
Ailanthus altissima (Mill.) Swingle,40.374647,-74.618539,gbif,2020-01-26,2563656660
Ailanthus altissima (Mill.) Swingle,36.76751,-83.188072,gbif,2020-01-31,2574208672
Ailanthus altissima (Mill.) Swingle,32.760647,-97.390761,gbif,2020-01-10,2603324785
Ailanthus altissima (Mill.) Swingle,40.925608,-74.962142,gbif,2020-01-11,2626565864
Ailanthus altissima (Mill.) Swingle,38.727971,-6.536865,gbif,2020-01-02,2644199610
Ailanthus altissima (Mill.) Swingle,-36.656892,-64.354133,gbif,2020-01-21,2644303104
Ailanthus altissima (Mill.) Swingle,-34.735968,-56.19553,gbif,2020-01-05,2645739949
Ailanthus altissima (Mill.) Swingle,-29.166455,-67.491533,gbif,2020-01-06,2646631396
Ailanthus altissima (Mill.) Swingle,-33.618602,-70.56744,gbif,2020-01-13,2646674145
Ailanthus altissima (Mill.) Swingle,25.430173,-101.00119,gbif,2020-01-30,2646757817
Ailanthus altissima (Mill.) Swingle,-34.212192,-60.729122,gbif,2020-01-27,2646890961
Ailanthus altissima (Mill.) Swingle,-35.440506,-60.879672,gbif,2020-01-10,2646891889
Ailanthus altissima (Mill.) Swingle,-36.793333,-73.091667,gbif,2020-01-15,2646919707
Ailanthus altissima (Mill.) Swingle,-26.173611,28.543611,gbif,2020-01-18,2646920306
Ailanthus altissima (Mill.) Swingle,-34.588318,-68.550545,gbif,2020-01-21,2646925496
Ailanthus altissima (Mill.) Swingle,-34.174365,-70.716742,gbif,2020-01-24,2646960072
Ailanthus altissima (Mill.) Swingle,-36.903292,-60.332303,gbif,2020-01-10,2646968156
Ailanthus altissima (Mill.) Swingle,-35.139394,-61.969098,gbif,2020-01-01,2646990373
Ailanthus altissima (Mill.) Swingle,-33.881543,-71.379856,gbif,2020-01-02,2647035038
Ailanthus altissima (Mill.) Swingle,-34.591193,-58.886487,gbif,2020-01-03,2647035079
Ailanthus altissima (Mill.) Swingle,-31.080156,-64.500909,gbif,2020-01-06,2647035219
Ailanthus altissima (Mill.) Swingle,-32.545779,-62.984573,gbif,2020-01-13,2647062608
Ailanthus altissima (Mill.) Swingle,-32.772335,-71.18598,gbif,2020-01-17,2647106313
Ailanthus altissima (Mill.) Swingle,-34.972222,-67.701667,gbif,2020-01-12,2649332253
Ailanthus altissima (Mill.) Swingle,40.730289,31.605181,gbif,2020-01-18,2649354635
Ailanthus altissima (Mill.) Swingle,-34.760072,-58.599527,gbif,2020-01-04,2649391993
Ailanthus altissima (Mill.) Swingle,-34.320251,-54.988136,gbif,2020-01-18,2649423044
Ailanthus altissima (Mill.) Swingle,-34.788905,-55.922229,gbif,2020-01-03,2649644296
Ailanthus altissima (Mill.) Swingle,-34.303166,-58.764273,gbif,2020-01-04,2649671382
Ailanthus altissima (Mill.) Swingle,-33.452255,-70.539215,gbif,2020-01-06,2649775874
Ailanthus altissima (Mill.) Swingle,-37.314894,-59.130216,gbif,2020-01-10,2649779594
Ailanthus altissima (Mill.) Swingle,44.063652,1.95155,gbif,2020-01-25,2649800056
Ailanthus altissima (Mill.) Swingle,43.926214,5.485461,gbif,2020-01-27,2649808903
Ailanthus altissima (Mill.) Swingle,-40.823666,-63.02171,gbif,2020-01-05,2649902084
Ailanthus altissima (Mill.) Swingle,-37.169667,-56.903499,gbif,2020-01-16,2649909670
Ailanthus altissima (Mill.) Swingle,-34.734565,-56.432135,gbif,2020-01-18,2649909821
Ailanthus altissima (Mill.) Swingle,-31.415411,-64.154678,gbif,2020-01-09,2650099036
Ailanthus altissima (Mill.) Swingle,40.40853,-74.985991,gbif,2020-02-09,2573853676
Ailanthus altissima (Mill.) Swingle,39.360817,-77.397035,gbif,2020-02-22,2573897037
Ailanthus altissima (Mill.) Swingle,41.85533,-73.93718,gbif,2020-02-17,2573951328
Ailanthus altissima (Mill.) Swingle,42.088563,-76.884507,gbif,2020-02-23,2573962977
Ailanthus altissima (Mill.) Swingle,40.246838,-80.044647,gbif,2020-02-21,2574108838
Ailanthus altissima (Mill.) Swingle,40.464552,-78.195578,gbif,2020-02-06,2574178268
Ailanthus altissima (Mill.) Swingle,40.199543,-74.490099,gbif,2020-02-23,2576305332
Ailanthus altissima (Mill.) Swingle,40.222751,-77.188874,gbif,2020-02-24,2576308318
Ailanthus altissima (Mill.) Swingle,42.042994,-72.599411,gbif,2020-02-23,2576410098
Ailanthus altissima (Mill.) Swingle,56.458332,16.42468,gbif,2020-02-25,2593067338
Ailanthus altissima (Mill.) Swingle,-39.699566,176.896889,gbif,2020-02-09,2619877565
Ailanthus altissima (Mill.) Swingle,29.567486,34.952171,gbif,2020-02-02,2644234526
Ailanthus altissima (Mill.) Swingle,-33.183629,-70.671402,gbif,2020-02-10,2646689447
Ailanthus altissima (Mill.) Swingle,-34.925553,-57.928998,gbif,2020-02-09,2646755814
Ailanthus altissima (Mill.) Swingle,-32.926734,-62.445421,gbif,2020-02-19,2646913591
Ailanthus altissima (Mill.) Swingle,-34.675082,-71.309525,gbif,2020-02-08,2647020928
Ailanthus altissima (Mill.) Swingle,-32.369862,-63.168935,gbif,2020-02-25,2647023281
Ailanthus altissima (Mill.) Swingle,-37.867897,-57.603783,gbif,2020-02-22,2647099992
Ailanthus altissima (Mill.) Swingle,-34.045847,-53.552819,gbif,2020-02-03,2647112855
Ailanthus altissima (Mill.) Swingle,-33.538203,-70.521295,gbif,2020-02-11,2647136345
Ailanthus altissima (Mill.) Swingle,-37.098435,-56.852702,gbif,2020-02-09,2647154539
Ailanthus altissima (Mill.) Swingle,37.45236,-5.234328,gbif,2020-02-01,2647175679
Ailanthus altissima (Mill.) Swingle,-41.303116,174.893524,gbif,2020-02-05,2647176051
