name,decimalLatitude,decimalLongitude
Ailanthus altissima,40.687537,-74.112482
Ailanthus altissima,-43.517568,172.667689
Ailanthus altissima,41.727196,-88.008176
Ailanthus altissima,52.130473,11.625475
Ailanthus altissima,40.605091,-74.532537
Ailanthus altissima,32.80347,-108.120889
Ailanthus altissima,-40.35982,175.643669
Ailanthus altissima,41.375282,-88.160759
Ailanthus altissima,43.83863,4.37215
Ailanthus altissima,43.83927,4.37179
Ailanthus altissima,40.762487,-74.712439
Ailanthus altissima,39.47872,-8.53335
Ailanthus altissima,32.555388,-107.994355
Ailanthus altissima,-33.136112,149.892227
Ailanthus altissima,40.060181,-77.281922
Ailanthus altissima,32.81542,-108.087569
Ailanthus altissima,32.815088,-108.087875
Ailanthus altissima,49.308899,8.535916
Ailanthus altissima,39.605206,-79.96872
Ailanthus altissima,47.08373,2.40686
Ailanthus altissima,40.542201,-74.566829
Ailanthus altissima,38.988456,-79.12172
Ailanthus altissima,-43.517981,172.66773800000001
Ailanthus altissima,51.527303,11.91359
Ailanthus altissima,-32.23,22.524167
Ailanthus altissima,40.792938,-73.914787
Ailanthus altissima,40.520455,-74.583607
Ailanthus altissima,40.61203,-74.577985
Ailanthus altissima,40.560699,-74.601631
Ailanthus altissima,39.332582,-77.749864
Ailanthus altissima,49.321067,8.544096
Ailanthus altissima,40.793063,-73.914488
Ailanthus altissima,38.7259,-9.13145
Ailanthus altissima,-35.380208,149.122653
Ailanthus altissima,40.580071,-74.866156
Ailanthus altissima,40.691475,-74.434819
Ailanthus altissima,40.558091,-74.526014
Ailanthus altissima,46.496827,11.346817
Ailanthus altissima,40.792503,-73.914784
Ailanthus altissima,42.40475,-71.02085
Ailanthus altissima,-32.229721,22.52389
Ailanthus altissima,42.402608,-71.135037
Ailanthus altissima,40.494416,-74.671497
Ailanthus altissima,40.792946,-73.914539
Ailanthus altissima,40.406846,-73.978813
Ailanthus altissima,41.844836,-87.683598
Ailanthus altissima,34.110681,-118.251762
Ailanthus altissima,-31.177082,149.157912
Ailanthus altissima,38.920242,-1.725975
Ailanthus altissima,40.127362,-88.213959
Ailanthus altissima,40.799645,-73.92057
Ailanthus altissima,40.41,-3.95
Ailanthus altissima,32.670737,-97.430995
Ailanthus altissima,40.588276,-74.56275
Ailanthus altissima,40.816596,-73.875905
Ailanthus altissima,40.490267,-74.432201
Ailanthus altissima,45.103975,8.60981
Ailanthus altissima,40.781983,-74.102075
Ailanthus altissima,40.629392,-74.284497
Ailanthus altissima,40.891346,-73.880956
Ailanthus altissima,44.38422,9.07666
Ailanthus altissima,46.63702,-117.378684
Ailanthus altissima,46.02753,4.0597
Ailanthus altissima,40.619507,-74.285238
Ailanthus altissima,40.759643,-73.752149
Ailanthus altissima,40.490267,-74.432716
Ailanthus altissima,40.358135,-78.150374
Ailanthus altissima,40.721014,-74.557643
Ailanthus altissima,42.399137,-71.074184
Ailanthus altissima,39.042586,-76.969697
Ailanthus altissima,37.965177,-121.862926
Ailanthus altissima,32.729855,-117.150894
Ailanthus altissima,42.016939,11.95894
Ailanthus altissima,37.819122,-120.663445
Ailanthus altissima,41.801485,-87.721728
Ailanthus altissima,37.309034,-78.402863
Ailanthus altissima,40.45,-3.73
Ailanthus altissima,45.18873,5.71481
Ailanthus altissima,35.91049,-79.043859
Ailanthus altissima,45.408294,11.900023
Ailanthus altissima,40.77099,-73.952171
Ailanthus altissima,48.229766,16.358884
Ailanthus altissima,46.02465,4.06126
Ailanthus altissima,35.754462,-78.635931
Ailanthus altissima,32.081233,-110.051055
Ailanthus altissima,40.45,-3.79
Ailanthus altissima,38.911113,-77.002243000000007
Ailanthus altissima,45.20508,5.70095
Ailanthus altissima,37.542808,-88.9781
Ailanthus altissima,34.236784,-118.360152
Ailanthus altissima,41.843649,-87.686991
Ailanthus altissima,32.7489,-96.702848
Ailanthus altissima,45.49314,15.54884
Ailanthus altissima,40.47,-3.59
Ailanthus altissima,30.261841,-97.740234
Ailanthus altissima,32.794575,-97.406858
Ailanthus altissima,33.00381,-117.107713
Ailanthus altissima,39.034031,-77.0094
Ailanthus altissima,46.332381,13.147391
Ailanthus altissima,39.042797,-76.970078
Ailanthus altissima,40.502754,-74.252794
Ailanthus altissima,38.932845,-77.041801
Ailanthus altissima,38.84171,-7.59258
Ailanthus altissima,40.22332,-8.45124
Ailanthus altissima,41.843399,-87.687278
Ailanthus altissima,40.33,-3.81
Ailanthus altissima,40.60516,-74.249479
Ailanthus altissima,34.133189,-118.03565
Ailanthus altissima,40.670646,-73.835131
Ailanthus altissima,38.932845,-77.041822
Ailanthus altissima,40.739171,-73.942859
Ailanthus altissima,40.41,-3.75
Ailanthus altissima,39.029822,-77.006578
Ailanthus altissima,40.734917,-73.93968
Ailanthus altissima,40.44,-3.62
Ailanthus altissima,38.783488,-77.070655
Ailanthus altissima,45.493189,15.557758
Ailanthus altissima,38.805378,-77.1036
Ailanthus altissima,37.956628,-121.864547
Ailanthus altissima,39.263704,-76.584539
Ailanthus altissima,40.675529,-73.991173
Ailanthus altissima,32.755132,-117.183453
Ailanthus altissima,37.327423,-121.86557
Ailanthus altissima,40.4,-3.76
Ailanthus altissima,42.139966,-88.041298
Ailanthus altissima,45.492597,15.553825
Ailanthus altissima,38.80692,-7.45535
Ailanthus altissima,39.311522,-76.620681
Ailanthus altissima,45.75506,3.09708
Ailanthus altissima,30.281522,-97.740988
Ailanthus altissima,40.991472,-81.624348
Ailanthus altissima,41.736638,-72.200966
Ailanthus altissima,36.060479,-86.901022
Ailanthus altissima,35.030556,-85.334008
Ailanthus altissima,36.008609,-78.903363
Ailanthus altissima,38.70705,-9.1468
Ailanthus altissima,32.748884,-96.702876
Ailanthus altissima,40.22141,-8.44898
Ailanthus altissima,38.900069,-77.158171
Ailanthus altissima,36.127408,-86.814653
Ailanthus altissima,38.7796,-7.40212
Ailanthus altissima,40.406621,-73.978934
Ailanthus altissima,38.606061,-77.279922
Ailanthus altissima,41.847579,-87.677695
Ailanthus altissima,40.779967,-73.968127
Ailanthus altissima,30.264995,-97.7343
Ailanthus altissima,3.042655,101.583762
Ailanthus altissima,37.327372,-121.865738
Ailanthus altissima,34.189068,-118.022947
Ailanthus altissima,40.22282,-8.4582
Ailanthus altissima,49.898891,8.497281
Ailanthus altissima,40.020509,-75.103977
Ailanthus altissima,40.410441,-74.003488
Ailanthus altissima,46.02553,4.06492
Ailanthus altissima,37.525722,-120.855397
Ailanthus altissima,40.883863,-73.913888
Ailanthus altissima,40.771099,-73.952245
Ailanthus altissima,41.942978,-87.695061
Ailanthus altissima,30.29142,-97.741455
Ailanthus altissima,38.916312,-77.001332
Ailanthus altissima,40.41,-3.72
Ailanthus altissima,-43.574971,172.636778
Ailanthus altissima,34.070735,-118.261657
Ailanthus altissima,45.470909,10.47386
Ailanthus altissima,25.79974,-108.975067
Ailanthus altissima,37.327138,-121.866139
Ailanthus altissima,34.120048,-118.3216
Ailanthus altissima,45.494242,15.55423
Ailanthus altissima,43.68345,3.84009
Ailanthus altissima,34.143749,-118.1668
Ailanthus altissima,40.759773,-73.927689
Ailanthus altissima,45.147392,8.3857
Ailanthus altissima,40.761041,-73.9258
Ailanthus altissima,40.291744,-76.833763
Ailanthus altissima,32.327687,-109.48472
Ailanthus altissima,45.089458,14.120672
Ailanthus altissima,41.886411,-87.960654
Ailanthus altissima,41.509728,-88.096969
Ailanthus altissima,44.054107,12.568547
Ailanthus altissima,36.327289,-119.184193
Ailanthus altissima,39.654022,-104.915311
Ailanthus altissima,38.1481,-7.45508
Ailanthus altissima,40.818911,-73.94837
Ailanthus altissima,34.42083,-118.517037
Ailanthus altissima,40.557292,-74.651004
Ailanthus altissima,34.144128,-118.119689
Ailanthus altissima,35.007359,-85.35433
Ailanthus altissima,40.653636,-74.477127
Ailanthus altissima,47.026781,28.840188
Ailanthus altissima,29.791892,-98.732187
Ailanthus altissima,34.1068,-118.050803
Ailanthus altissima,40.847195,-73.945725
Ailanthus altissima,38.866123,-77.062924
Ailanthus altissima,35.216404,-97.460952
Ailanthus altissima,38.750949,-77.475267
Ailanthus altissima,45.17196,5.73475
Ailanthus altissima,40.819437,-73.947699
Ailanthus altissima,40.51421,-80.110017
Ailanthus altissima,42.60556,-71.306427
Ailanthus altissima,36.549945,-84.796835
Ailanthus altissima,38.969512,-95.235304
Ailanthus altissima,39.311491,-76.596133
Ailanthus altissima,40.712419,-73.931887
Ailanthus altissima,40.671269,-73.99651
Ailanthus altissima,40.584377,-73.990304
Ailanthus altissima,37.731892,-121.111077
Ailanthus altissima,40.766757,-73.953649
Ailanthus altissima,40.76912,-73.950573
Ailanthus altissima,36.290582,-83.271878
Ailanthus altissima,39.657183,-104.914192
Ailanthus altissima,39.163369,-76.484307
Ailanthus altissima,42.312808,-88.4493
Ailanthus altissima,36.879841,-4.846582
Ailanthus altissima,36.067006,-79.091182
Ailanthus altissima,38.891395,-77.010483
Ailanthus altissima,38.45122,-9.10788
Ailanthus altissima,35.608084,-82.568988
Ailanthus altissima,40.712642,-73.931704
Ailanthus altissima,41.302955,-72.917553
Ailanthus altissima,38.915863,-77.00192
Ailanthus altissima,41.92253,-8.5612
Ailanthus altissima,39.644481,-79.972664
Ailanthus altissima,51.03361,3.74885
Ailanthus altissima,40.682871,-73.513229
Ailanthus altissima,42.283642,-83.747027
Ailanthus altissima,44.827433,8.630458
Ailanthus altissima,38.79781,-77.107689
Ailanthus altissima,38.64358,-8.21687
Ailanthus altissima,40.71207,-73.931
Ailanthus altissima,40.688999,-73.509821
Ailanthus altissima,36.903957,-3.445411
Ailanthus altissima,38.201716,-85.704045
Ailanthus altissima,40.562167,-76.004748
Ailanthus altissima,46.03054,4.05934
Ailanthus altissima,37.26659,-3.495496
Ailanthus altissima,38.1447,-7.44866
Ailanthus altissima,45.17574,5.32839
Ailanthus altissima,45.648265,9.329718
Ailanthus altissima,40.690921,-74.237366
