Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1961,1961,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1962,1962,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1963,1963,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1964,1964,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1965,1965,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1966,1966,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1967,1967,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1968,1968,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1969,1969,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1970,1970,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1971,1971,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1972,1972,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1973,1973,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1974,1974,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1975,1975,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1976,1976,1000 US$,2,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1977,1977,1000 US$,3,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1978,1978,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1979,1979,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1980,1980,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1981,1981,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1982,1982,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1983,1983,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1984,1984,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1985,1985,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1986,1986,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1987,1987,1000 US$,0,,Official data
TP,Crops and livestock products,2,Afghanistan,5622,Import Value,564,Wine,1988,1988,1000 US$,0,,Official data
